# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,110,0,0,23278.36,32016.68,12161.68,0.0,1.375384,0.379855,0.0,0.0,0,0.0
1,11,0,0,2320.4202,3197.9601,1212.4601,0.0,1.378181,0.379135,0.0,0.0,110,23900.679
2,9,0,0,1905.9512,2620.2256,995.7256,0.0,1.37476,0.380015,0.0,0.0,11,2373.5155
3,6,0,0,1267.7859,1745.393,662.393,0.0,1.376725,0.379509,0.0,0.0,9,1958.2928
4,20,0,0,4227.7287,5818.8644,2208.8644,0.0,1.376357,0.379604,0.0,0.0,6,1299.7255
5,10,0,0,2117.6516,2911.3258,1106.3258,0.0,1.37479,0.380008,0.0,0.0,20,4335.3015
6,16,0,0,3392.0008,4660.0004,1772.0004,0.0,1.373821,0.380258,0.0,0.0,10,2176.1385
7,9,0,0,1895.2765,2614.8882,990.3882,0.0,1.379687,0.37875,0.0,0.0,16,3490.1239
8,15,0,0,3173.2179,4365.3589,1657.8589,0.0,1.375688,0.379776,0.0,0.0,9,1934.8906
9,13,0,0,2755.9238,3786.2119,1439.7119,0.0,1.373845,0.380251,0.0,0.0,15,3256.8123
10,14,0,0,2964.4891,4075.7446,1548.7446,0.0,1.374856,0.379991,0.0,0.0,13,2835.5262
11,17,0,0,3590.0235,4944.2618,1875.7618,0.0,1.377223,0.379382,0.0,0.0,14,3045.5178
12,13,0,0,2757.5006,3787.0003,1440.5003,0.0,1.373345,0.38038,0.0,0.0,17,3677.2309
13,9,0,0,1894.5039,2614.502,990.002,0.0,1.380046,0.378658,0.0,0.0,13,2838.4713
14,10,0,0,2113.2153,2909.1076,1104.1076,0.0,1.376626,0.379535,0.0,0.0,9,1933.2053
15,4,0,0,848.9846,1165.4923,443.4923,0.0,1.372807,0.380519,0.0,0.0,10,2166.3916
16,11,0,0,2325.9508,3200.7254,1215.2254,0.0,1.376093,0.379672,0.0,0.0,4,874.7298
17,15,0,0,3182.3453,4369.9226,1662.4226,0.0,1.373177,0.380424,0.0,0.0,11,2385.8684
18,9,0,0,1894.7844,2614.6422,990.1422,0.0,1.379915,0.378691,0.0,0.0,15,3276.6476
19,12,0,0,2540.1414,3493.0707,1327.0707,0.0,1.375148,0.379915,0.0,0.0,9,1933.7499
20,12,0,0,2531.5127,3488.7563,1322.7563,0.0,1.378131,0.379148,0.0,0.0,12,2608.5
21,18,0,0,3801.0744,5235.0372,1986.0372,0.0,1.377252,0.379374,0.0,0.0,12,2589.7778
22,8,0,0,1689.6265,2326.8132,882.8132,0.0,1.377117,0.379409,0.0,0.0,18,3892.6592
23,7,0,0,1481.3725,2037.4363,773.9363,0.0,1.375371,0.379858,0.0,0.0,8,1730.9699
24,11,0,0,2321.2069,3198.3535,1212.8535,0.0,1.377884,0.379212,0.0,0.0,7,1520.8354
25,12,0,0,2543.6958,3494.8479,1328.8479,0.0,1.373925,0.380231,0.0,0.0,11,2375.6573
26,11,0,0,2325.5801,3200.54,1215.04,0.0,1.376233,0.379636,0.0,0.0,12,2616.1712
27,15,0,0,3176.0364,4366.7682,1659.2682,0.0,1.374911,0.379976,0.0,0.0,11,2384.8735
28,12,0,0,2537.4908,3491.7454,1325.7454,0.0,1.376062,0.37968,0.0,0.0,15,3262.4113
29,9,0,0,1907.289,2620.8945,996.3945,0.0,1.374147,0.380173,0.0,0.0,12,2602.1705
30,15,0,0,3174.2776,4365.8888,1658.3888,0.0,1.375396,0.379851,0.0,0.0,9,1961.6878
31,14,0,0,2964.4003,4075.7001,1548.7001,0.0,1.374882,0.379984,0.0,0.0,15,3259.1343
32,11,0,0,2328.2121,3201.856,1216.356,0.0,1.375242,0.379891,0.0,0.0,14,3046.0373
33,9,0,0,1899.0867,2616.7934,992.2934,0.0,1.377922,0.379202,0.0,0.0,11,2391.1522
34,8,0,0,1690.7859,2327.3929,883.3929,0.0,1.376515,0.379563,0.0,0.0,9,1943.2007
35,15,0,0,3163.7263,4360.6132,1653.1132,0.0,1.378316,0.379101,0.0,0.0,8,1733.1005
36,16,0,0,3396.6095,4662.3048,1774.3048,0.0,1.372635,0.380564,0.0,0.0,15,3236.0851
37,11,0,0,2334.3314,3204.9157,1219.4157,0.0,1.372948,0.380483,0.0,0.0,16,3499.6725
38,5,0,0,1062.2334,1457.3667,554.8667,0.0,1.371983,0.380732,0.0,0.0,11,2404.0557
39,13,0,0,2758.264,3787.382,1440.882,0.0,1.373104,0.380443,0.0,0.0,5,1095.2404
40,10,0,0,2115.9623,2910.4811,1105.4811,0.0,1.375488,0.379828,0.0,0.0,13,2840.3719
41,10,0,0,2107.8901,2906.4451,1101.4451,0.0,1.378841,0.378966,0.0,0.0,10,2172.3047
42,12,0,0,2550.2748,3498.1374,1332.1374,0.0,1.371671,0.380813,0.0,0.0,10,2154.5247
43,8,0,0,1691.7709,2327.8854,883.8854,0.0,1.376005,0.379695,0.0,0.0,12,2630.8998
44,11,0,0,2320.372,3197.936,1212.436,0.0,1.3782,0.379131,0.0,0.0,8,1735.5484
45,8,0,0,1690.5225,2327.2613,883.2613,0.0,1.376652,0.379528,0.0,0.0,11,2373.2895
46,8,0,0,1691.0081,2327.5041,883.5041,0.0,1.3764,0.379593,0.0,0.0,8,1732.6792
47,11,0,0,2327.035,3201.2675,1215.7675,0.0,1.375685,0.379777,0.0,0.0,8,1734.1778
48,7,0,0,1480.401,2036.9505,773.4505,0.0,1.375945,0.37971,0.0,0.0,11,2387.7619
49,4,0,0,853.2952,1167.6476,445.6476,0.0,1.368398,0.381663,0.0,0.0,7,1518.9948
50,7,0,0,1477.4476,2035.4738,771.9738,0.0,1.377696,0.37926,0.0,0.0,4,883.9742
51,7,0,0,1479.0922,2036.2961,772.7961,0.0,1.37672,0.379511,0.0,0.0,7,1512.6221
52,10,0,0,2114.8184,2909.9092,1104.9092,0.0,1.375962,0.379706,0.0,0.0,7,1515.4414
53,11,0,0,2331.961,3203.7305,1218.2305,0.0,1.373835,0.380254,0.0,0.0,10,2169.3761
