# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,110,291.0607,0.8117,289.7163,289.9678,290.3412,291.0741,291.7127,292.2414,292.4497,292.4613
0,actif_liquide,110,110.5607,0.8117,109.2163,109.4678,109.8412,110.5741,111.2127,111.7414,111.9497,111.9613
0,actif_total,110,211.6215,1.6234,208.9325,209.4355,210.1823,211.6483,212.9254,213.9829,214.3993,214.4225
0,ratio_L_P,110,0.3798,0.0017,0.377,0.3775,0.3783,0.3799,0.3812,0.3824,0.3828,0.3828
0,taux_interne,110,0.0292,0.0034,0.0235,0.0246,0.0262,0.0293,0.032,0.0343,0.0351,0.0352
0,levier_entite,110,1.3754,0.0067,1.3639,1.3657,1.37,1.3753,1.3814,1.3845,1.3862,1.3866
50,passif_total,7,290.782,0.7861,289.7338,289.8346,290.1138,290.8611,291.3564,291.7972,291.9244,291.9386
50,actif_liquide,7,110.282,0.7861,109.2338,109.3346,109.6138,110.3611,110.8564,111.2972,111.4244,111.4386
50,actif_total,7,211.0639,1.5722,208.9677,209.1692,209.7276,211.2222,212.2127,213.0944,213.3489,213.3771
50,ratio_L_P,7,0.3793,0.0017,0.377,0.3772,0.3778,0.3794,0.3805,0.3814,0.3817,0.3817
50,taux_interne,7,0.0281,0.0033,0.0236,0.024,0.0252,0.0284,0.0305,0.0324,0.0329,0.033
50,levier_entite,7,1.3777,0.0065,1.3682,1.3693,1.373,1.377,1.3833,1.3856,1.3864,1.3865
100,passif_total,7,291.1684,0.7454,289.978,290.2354,290.7283,291.1436,291.6766,292.0935,292.2319,292.2473
100,actif_liquide,7,110.6684,0.7454,109.478,109.7354,110.2283,110.6436,111.1766,111.5935,111.7319,111.7473
100,actif_total,7,211.8368,1.4908,209.456,209.9708,210.9566,211.7872,212.8532,213.6869,213.9638,213.9945
100,ratio_L_P,7,0.3801,0.0016,0.3775,0.3781,0.3791,0.38,0.3812,0.382,0.3823,0.3824
100,taux_interne,7,0.0297,0.0032,0.0246,0.0257,0.0278,0.0296,0.0319,0.0336,0.0342,0.0343
100,levier_entite,7,1.3745,0.0062,1.3657,1.3669,1.3703,1.3747,1.3782,1.3823,1.3842,1.3844
150,passif_total,11,291.1964,0.7518,289.9685,290.072,290.6671,291.3943,291.6864,292.1873,292.2636,292.2721
150,actif_liquide,11,110.6964,0.7518,109.4685,109.572,110.1671,110.8943,111.1864,111.6873,111.7636,111.7721
150,actif_total,11,211.8928,1.5035,209.437,209.6441,210.8343,212.2886,212.8728,213.8745,214.0273,214.0442
150,ratio_L_P,11,0.3801,0.0016,0.3775,0.3777,0.379,0.3806,0.3812,0.3822,0.3824,0.3824
150,taux_interne,11,0.0298,0.0032,0.0246,0.0251,0.0276,0.0307,0.0319,0.034,0.0344,0.0344
150,levier_entite,11,1.3743,0.0062,1.3655,1.3662,1.3702,1.3726,1.3787,1.3836,1.3844,1.3845
200,passif_total,7,291.3144,0.5018,290.4339,290.7835,291.0474,291.2099,291.7264,291.8806,291.9965,292.0094
200,actif_liquide,7,110.8144,0.5018,109.9339,110.2835,110.5474,110.7099,111.2264,111.3806,111.4965,111.5094
200,actif_total,7,212.1288,1.0036,210.3678,211.067,211.5948,211.9198,212.9527,213.2612,213.493,213.5188
200,ratio_L_P,7,0.3804,0.0011,0.3785,0.3793,0.3798,0.3802,0.3813,0.3816,0.3818,0.3819
200,taux_interne,7,0.0303,0.0021,0.0266,0.0281,0.0292,0.0299,0.0321,0.0327,0.0332,0.0333
200,levier_entite,7,1.3733,0.0041,1.3676,1.3687,1.3699,1.3742,1.3755,1.3777,1.3803,1.3806
250,passif_total,6,290.5323,0.4921,290.0459,290.0914,290.1867,290.3598,290.6918,291.1457,291.4618,291.4969
250,actif_liquide,6,110.0323,0.4921,109.5459,109.5914,109.6867,109.8598,110.1918,110.6457,110.9618,110.9969
250,actif_total,6,210.5646,0.9841,209.5919,209.6828,209.8733,210.2197,210.8836,211.7914,212.4235,212.4938
250,ratio_L_P,6,0.3787,0.0011,0.3777,0.3778,0.378,0.3784,0.3791,0.38,0.3807,0.3808
250,taux_interne,6,0.027,0.0021,0.0249,0.0251,0.0255,0.0263,0.0277,0.0296,0.031,0.0311
250,levier_entite,6,1.3798,0.0041,1.3718,1.3747,1.3784,1.3812,1.3827,1.3835,1.3838,1.3839
300,passif_total,4,290.7425,0.6883,289.9153,290.0151,290.1649,290.7179,291.2955,291.4895,291.6059,291.6189
300,actif_liquide,4,110.2425,0.6883,109.4153,109.5151,109.6649,110.2179,110.7955,110.9895,111.1059,111.1189
300,actif_total,4,210.985,1.3766,209.3306,209.5303,209.8298,210.9358,212.091,212.479,212.7119,212.7377
300,ratio_L_P,4,0.3792,0.0015,0.3774,0.3776,0.3779,0.3791,0.3804,0.3808,0.381,0.381
300,taux_interne,4,0.0279,0.0029,0.0244,0.0248,0.0254,0.0278,0.0303,0.0311,0.0316,0.0316
300,levier_entite,4,1.3781,0.0057,1.3708,1.3719,1.3734,1.3782,1.3829,1.3841,1.3849,1.385
350,passif_total,14,291.0328,0.5255,290.1159,290.4428,290.662,291.025,291.3898,291.7228,291.9384,291.9584
