step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,110,110,10,1513.4949,0.0,0.0,0,11116.68,0,0.0,0.0,0,0,23278.36,32016.68,12161.68,291.0607,0.02925
1,11,121,11,2018.2061,0.0,0.0,0,1107.9601,110,0.0,0.0,0,0,2320.4202,3197.9601,1212.4601,290.7236,0.02782
2,9,130,9,302.997,0.0,0.0,0,910.2256,11,0.0,0.0,0,0,1905.9512,2620.2256,995.7256,291.1362,0.029572
3,6,136,6,235.4619,0.0,0.0,0,605.393,9,0.0,0.0,0,0,1267.7859,1745.393,662.393,290.8988,0.028564
4,20,156,20,370.5369,0.0,0.0,0,2018.8644,6,0.0,0.0,0,0,4227.7287,5818.8644,2208.8644,290.9432,0.02875
5,10,166,10,473.9388,0.0,0.0,0,1011.3258,20,0.0,0.0,0,0,2117.6516,2911.3258,1106.3258,291.1326,0.029554
6,16,182,16,398.6703,0.0,0.0,0,1620.0004,10,0.0,0.0,0,0,3392.0008,4660.0004,1772.0004,291.25,0.030053
7,9,191,9,395.0702,0.0,0.0,0,904.8882,16,0.0,0.0,0,0,1895.2765,2614.8882,990.3882,290.5431,0.027053
8,15,206,15,346.6917,0.0,0.0,0,1515.3589,9,0.0,0.0,0,0,3173.2179,4365.3589,1657.8589,291.0239,0.029094
9,13,219,13,438.0128,0.0,0.0,0,1316.2119,15,0.0,0.0,0,0,2755.9238,3786.2119,1439.7119,291.2471,0.030042
10,14,233,14,422.3331,0.0,0.0,0,1415.7446,13,0.0,0.0,0,0,2964.4891,4075.7446,1548.7446,291.1246,0.029524
11,17,250,17,466.7819,0.0,0.0,0,1714.2618,14,0.0,0.0,0,0,3590.0235,4944.2618,1875.7618,290.8389,0.028306
12,13,263,13,465.5473,0.0,0.0,0,1317.0003,17,0.0,0.0,0,0,2757.5006,3787.0003,1440.5003,291.3077,0.030301
13,9,272,9,343.0097,0.0,0.0,0,904.502,13,0.0,0.0,0,0,1894.5039,2614.502,990.002,290.5002,0.02687
14,10,282,10,275.017,0.0,0.0,0,1009.1076,9,0.0,0.0,0,0,2113.2153,2909.1076,1104.1076,290.9108,0.028613
15,4,286,4,224.3564,0.0,0.0,0,405.4923,10,0.0,0.0,0,0,848.9846,1165.4923,443.4923,291.3731,0.030576
16,11,297,11,220.8889,0.0,0.0,0,1110.7254,4,0.0,0.0,0,0,2325.9508,3200.7254,1215.2254,290.975,0.028888
17,15,312,15,399.4826,0.0,0.0,0,1519.9226,11,0.0,0.0,0,0,3182.3453,4369.9226,1662.4226,291.3282,0.030386
18,9,321,9,379.4982,0.0,0.0,0,904.6422,15,0.0,0.0,0,0,1894.7844,2614.6422,990.1422,290.5158,0.026935
19,12,333,12,306.5379,0.0,0.0,0,1213.0707,9,0.0,0.0,0,0,2540.1414,3493.0707,1327.0707,291.0892,0.029372
