step,volume_joules,nb_entites,ratio_destruction
1,23900.679,110,0.911506
2,2373.5155,11,0.554629
3,1958.2928,9,0.60702
4,1299.7255,6,0.23514
5,4335.3015,20,0.671832
6,2176.1385,10,0.39082
7,3490.1239,16,0.648071
8,1934.8906,9,0.378788
9,3256.8123,15,0.541652
10,2835.5262,13,0.488883
11,3045.5178,14,0.458971
12,3677.2309,17,0.571466
13,2838.4713,13,0.599722
14,1933.2053,9,0.477757
15,2166.3916,10,0.718448
16,874.7298,4,0.273295
17,2385.8684,11,0.42848
18,3276.6476,15,0.633605
19,1933.7499,9,0.43223
20,2608.5,12,0.507489
21,2589.7778,12,0.405232
22,3892.6592,18,0.697324
23,1730.9699,8,0.53885
24,1520.8354,7,0.39584
25,2375.6573,11,0.482921
26,2616.1712,12,0.529402
27,2384.8735,11,0.428864
28,3262.4113,15,0.562494
29,2602.1705,12,0.577047
30,1961.6878,9,0.381951
31,3259.1343,15,0.523679
32,3046.0373,14,0.566784
33,2391.1522,11,0.557347
34,1943.2007,9,0.53473
35,1733.1005,8,0.353923
36,3236.0851,15,0.487899
37,3499.6725,16,0.599875
38,2404.0557,11,0.693553
39,1095.2404,5,0.284219
40,2840.3719,13,0.573079
41,2172.3047,10,0.507525
42,2154.5247,10,0.457942
43,2630.8998,12,0.608628
44,1735.5484,8,0.427905
45,2373.2895,11,0.584006
46,1732.6792,8,0.506086
47,1734.1778,8,0.42701
48,2387.7619,11,0.617286
49,1518.9948,7,0.640307
50,883.9742,4,0.37434
51,1512.6221,7,0.505604
52,1515.4414,7,0.417447
53,2169.3761,10,0.48194
54,2398.9813,11,0.557052
55,1962.4518,9,0.457657
56,2385.3563,11,0.530103
57,2168.5785,10,0.594712
58,1513.5469,7,0.544443
59,1296.0591,6,0.357
60,2404.4576,11,0.738975
61,875.4682,4,0.291753
62,2192.7166,10,0.564496
63,1735.4768,8,0.477578
64,1942.2028,9,0.478324
65,2177.3917,10,0.423534
66,3043.8204,14,0.506569
67,3046.128,14,0.706216
68,1297.8482,6,0.357385
69,2402.7434,11,0.558929
70,1936.6156,9,0.604607
71,1296.4321,6,0.379197
72,2186.3857,10,0.484714
73,2382.4008,11,0.555419
74,1960.7472,9,0.53638
75,1741.9497,8,0.507796
76,1727.9693,8,0.475277
77,1962.1269,9,0.456573
78,2406.1804,11,0.447765
79,3052.3975,14,0.567487
80,2387.023,11,0.464212
81,2833.6412,13,0.548588
82,2398.5772,11,0.465871
83,2821.9833,13,0.688735
84,1316.0013,6,0.293209
85,3254.8087,15,0.718863
86,1310.1113,6,0.322875
87,2816.8589,13,0.624867
88,1733.8916,8,0.426786
89,2392.3195,11,0.585839
90,1734.3363,8,0.538951
91,1526.2069,7,0.418705
92,2178.5691,10,0.596219
93,1507.9954,7,0.337447
94,3037.8895,14,0.566612
95,2381.2737,11,0.484366
96,2597.4311,12,0.672216
97,1296.6466,6,0.433155
98,1747.0576,8,0.541835
99,1511.9971,7,0.417397
100,2159.3578,10,0.592869
101,1524.7236,7,0.474102
102,1734.9138,8,0.353187
103,3265.7866,15,0.659449
104,1724.3163,8,0.44953
105,2162.8495,10,0.560673
106,1742.1058,8,0.505994
107,1755.6811,8,0.507922
108,1755.3933,8,0.408651
109,2608.7518,12,0.467901
110,3050.1238,14,0.545627
111,2608.284,12,0.577731
112,1959.7319,9,0.57065
113,1505.7518,7,0.392127
114,2403.5549,11,0.586246
115,1745.5855,8,0.452614
116,2161.1408,10,0.388875
117,3498.4419,16,0.647292
118,1959.413,9,0.397948
119,3045.302,14,0.566444
120,2397.0164,11,0.694128
121,1082.0777,5,0.338499
122,2168.8856,10,0.59436
123,1518.7791,7,0.338838
124,3043.5908,14,0.52523
125,2824.6689,13,0.655643
126,1526.0268,7,0.396297
127,2383.4753,11,0.463816
128,2834.0748,13,0.655906
129,1532.5695,7,0.59211
130,1081.2503,5,0.389231
131,1746.2972,8,0.506533
132,1756.482,8,0.390155
133,2812.457,13,0.597656
134,1930.8224,9,0.412539
135,2821.3245,13,0.548262
136,2382.5775,11,0.555598
137,1957.7609,9,0.507026
138,1953.5783,9,0.569212
139,1514.8414,7,0.588119
140,1092.3788,5,0.424741
141,1517.009,7,0.505263
142,1529.9915,7,0.445912
143,1947.7674,9,0.505004
144,1965.7077,9,0.535927
145,1758.07,8,0.47958
146,1962.0956,9,0.457436
147,2388.7168,11,0.529937
148,2178.0974,10,0.405937
149,3287.7766,15,0.544215
150,2830.4383,13,0.548401
151,2396.2927,11,0.585249
152,1749.7144,8,0.407741
153,2611.8403,12,0.6067
154,1738.3072,8,0.428169
155,2376.4698,11,0.50528
156,2387.7764,11,0.652807
157,1303.924,6,0.321165
158,2835.176,13,0.770733
159,862.3073,4,0.253514
160,2606.5746,12,0.60561
161,1748.0949,8,0.371606
162,3027.1467,14,0.565901
163,2377.2418,11,0.616045
164,1521.3106,7,0.296891
165,3705.2582,17,0.687005
166,1727.6365,8,0.575525
167,1313.6109,6,0.322597
168,2840.8006,13,0.527828
169,2611.2179,12,0.711829
170,1084.1876,5,0.505448
171,1092.4038,5,0.36417
172,1961.2278,9,0.480813
173,2176.366,10,0.484157
174,2370.6267,11,0.528698
175,2166.0888,10,0.506178
176,2166.0039,10,0.459753
177,2619.8443,12,0.553213
178,2172.5526,10,0.562266
179,1734.5267,8,0.386071
180,2840.3188,13,0.691137
181,1302.3685,6,0.506899
182,1297.5632,6,0.43408
183,1734.8729,8,0.353245
184,3263.9528,15,0.630954
185,1964.8305,9,0.649424
186,1092.0862,5,0.269045
187,3051.8969,14,0.783159
