step,value
0,201.261242
0,190.0
0,200.193098
0,196.381908
0,201.462853
0,201.357535
0,201.925743
0,199.715413
0,200.531952
0,199.559535
0,190.0
0,200.818945
0,199.513584
0,192.050435
0,201.294818
0,200.909214
0,192.055306
0,201.115013
0,201.650529
0,192.094083
0,201.661503
0,201.318312
0,190.748306
0,199.847352
0,202.10675
0,200.377233
0,190.0
0,199.730487
0,201.824749
0,201.060042
0,201.656654
0,201.462145
0,200.982663
0,202.046439
0,200.523828
0,200.98576
0,201.781568
0,201.172074
0,201.812323
0,201.015894
0,201.335507
0,199.589008
0,190.0
0,200.311729
0,190.0
0,200.103596
0,199.689332
0,200.204859
0,201.202819
0,191.307709
0,200.515804
0,200.028948
0,190.678361
0,202.033209
0,201.245834
0,201.138476
0,199.90485
0,201.490776
0,190.0
0,200.516872
0,202.211274
0,201.22718
0,200.988538
0,201.406254
0,201.76829
0,201.565171
0,190.171705
0,199.587363
0,200.323183
0,190.0
0,200.070492
0,202.011342
0,201.782824
0,190.0
0,201.255663
0,200.518412
0,201.989226
0,200.731218
0,200.150729
0,190.0
0,200.983742
0,200.129945
0,201.069953
0,201.907071
0,192.118854
0,191.428951
0,202.200994
0,200.829354
0,199.718032
0,199.615504
0,190.0
0,201.184605
0,201.620364
0,200.685985
0,190.0
0,200.522651
0,202.164628
0,200.899107
0,202.186256
0,201.807424
0,200.783915
0,200.041851
0,200.553019
50,206.835343
50,200.203108
50,203.626405
50,204.449345
50,206.266206
50,207.693723
50,208.739286
50,203.880552
50,207.632989
50,204.000029
50,205.9005
50,206.572087
50,202.460999
50,204.634771
50,207.249538
50,207.285432
50,204.545577
50,207.327713
50,208.479744
50,204.994909
50,208.910929
50,207.541246
50,205.929848
50,204.468477
50,209.544351
50,205.607952
50,206.230842
50,207.390009
50,209.323385
50,207.430371
50,207.778169
50,205.948568
50,207.517524
50,205.767158
50,207.654803
50,207.550183
50,207.160906
50,206.750082
50,206.600261
50,207.569322
50,207.533458
50,197.169288
50,203.507105
50,205.619432
50,207.313037
50,203.450703
50,203.129332
50,204.200069
50,207.152929
50,205.286693
50,204.898599
50,203.716114
50,203.576611
50,209.207448
50,208.313586
50,207.851368
50,203.084587
50,208.77594
50,205.558601
50,205.665908
50,210.431917
50,208.793527
50,207.163911
50,208.058254
50,210.179935
50,208.533231
50,205.633515
50,203.577714
50,207.025196
50,205.474752
50,205.421774
50,208.681497
50,208.50239
50,203.808741
50,208.038364
50,203.547722
50,209.308037
50,206.837199
50,205.370474
50,205.183861
50,206.76404
50,204.707705
50,207.040899
50,210.51193
50,206.182802
50,203.817668
50,209.745535
50,206.325184
50,198.197783
50,201.569697
50,208.157536
50,207.953916
50,206.847081
50,206.308629
50,204.299669
50,202.169089
50,211.92393
50,205.905191
50,209.751519
50,207.593248
50,205.903959
50,207.402792
50,206.02275
50,205.360793
50,209.942118
50,201.711335
50,192.034657
50,207.075516
50,206.848179
50,206.223915
50,205.681221
50,205.397549
50,202.96812
50,206.468255
50,205.29402
50,205.288275
50,207.663902
50,190.0
50,201.756145
50,200.6897
50,204.69247
50,201.618666
50,207.679067
50,207.030989
50,205.662105
50,207.046832
50,208.320957
50,211.396152
50,204.827705
50,202.72574
50,210.525796
50,200.582367
50,205.493055
50,204.890004
50,203.579195
50,206.294701
50,208.592071
50,203.725714
50,206.358676
50,207.07702
50,209.331071
50,209.19726
50,204.369604
50,201.81336
50,202.313823
50,210.790653
50,203.394397
50,204.145175
50,208.359143
50,206.853025
50,202.068293
50,207.359681
50,207.943136
50,201.989174
50,208.848656
50,205.769137
50,202.565553
50,200.440591
50,210.015479
50,204.169697
50,207.316168
50,202.733724
50,208.375669
50,208.700756
50,201.555496
50,201.604059
50,202.22021
50,207.166115
50,205.616632
50,204.793463
50,203.936574
50,203.141273
50,196.014871
50,202.136012
50,201.993909
50,206.115934
50,202.115549
50,205.663076
50,201.496976
50,206.38857
50,206.620615
50,204.784607
50,204.264288
50,192.339796
50,190.0
50,205.190971
50,205.31733
50,207.439511
50,201.317801
50,201.15515
50,203.793464
50,205.540225
50,205.000994
50,203.31358
50,205.497654
50,199.954876
50,202.944791
50,201.248988
50,202.539979
50,203.673709
50,203.892968
50,200.912121
50,202.036789
50,200.901979
50,200.717772
100,206.264972
100,202.713475
100,205.871968
100,206.82799
100,205.665105
100,205.922838
100,204.899615
100,199.524885
100,208.569765
100,205.44479
100,210.296491
100,206.874636
100,208.468791
100,198.533184
100,206.348501
100,207.645162
100,207.990266
100,207.379169
100,207.309286
100,205.641232
100,208.228899
100,208.072719
100,209.127311
100,206.501052
100,206.993946
100,206.762572
100,209.015214
100,211.459139
100,207.202453
100,205.967411
100,203.556838
100,206.130794
100,207.036515
100,202.664896
100,208.840107
100,207.505162
100,205.359165
100,206.433104
100,205.028472
100,205.55754
100,208.599704
100,190.0
100,206.993901
100,209.221645
100,210.923696
100,204.791602
100,209.323657
100,208.906179
100,206.757301
100,206.518582
