step,value
0,0.947012
0,0.908831
0,0.951551
0,0.934853
0,0.950748
0,0.950338
0,0.949092
0,0.95361
0,0.950101
0,0.954287
0,0.904141
0,0.94888
0,0.954486
0,0.914516
0,0.950568
0,0.948497
0,0.914138
0,0.947628
0,0.94538
0,0.919407
0,0.950051
0,0.946772
0,0.904928
0,0.95304
0,0.948453
0,0.950762
0,0.906686
0,0.953545
0,0.944654
0,0.94786
0,0.949812
0,0.954036
0,0.948187
0,0.955625
0,0.950135
0,0.948173
0,0.944833
0,0.947387
0,0.949235
0,0.948046
0,0.946699
0,0.954159
0,0.904119
0,0.951042
0,0.90771
0,0.951935
0,0.953723
0,0.9515
0,0.947257
0,0.906836
0,0.95017
0,0.952256
0,0.906674
0,0.948655
0,0.947076
0,0.947529
0,0.952791
0,0.946048
0,0.905564
0,0.950165
0,0.94305
0,0.947155
0,0.948162
0,0.946402
0,0.944889
0,0.950246
0,0.90483
0,0.954166
0,0.950993
0,0.909349
0,0.952077
0,0.947965
0,0.944828
0,0.901955
0,0.947035
0,0.950158
0,0.948604
0,0.949252
0,0.951732
0,0.903493
0,0.948182
0,0.951822
0,0.947818
0,0.944311
0,0.913307
0,0.910934
0,0.943093
0,0.948836
0,0.953599
0,0.954044
0,0.907032
0,0.947334
0,0.950142
0,0.949445
0,0.908398
0,0.95014
0,0.943243
0,0.94854
0,0.948038
0,0.944726
0,0.949029
0,0.952201
0,0.950011
50,0.954711
50,0.780843
50,0.889299
50,0.883015
50,0.955732
50,0.953705
50,0.952569
50,0.848311
50,0.883169
50,0.61015
50,0.790896
50,0.95517
50,0.660057
50,0.844785
50,0.954465
50,0.954198
50,0.916177
50,0.95407
50,0.952676
50,0.686637
50,0.952265
50,0.954087
50,0.842616
50,0.778885
50,0.953684
50,0.887186
50,0.846893
50,0.645301
50,0.952169
50,0.955707
50,0.955624
50,0.957686
50,0.953575
50,0.958545
50,0.789503
50,0.953614
50,0.958486
50,0.955027
50,0.957049
50,0.953578
50,0.905927
50,0.736684
50,0.703734
50,0.827726
50,0.736455
50,0.959826
50,0.704711
50,0.823932
50,0.955783
50,0.910285
50,0.957409
50,0.883092
50,0.834004
50,0.953932
50,0.907916
50,0.95322
50,0.753943
50,0.952155
50,0.905703
50,0.816359
50,0.952917
50,0.953801
50,0.954586
50,0.953321
50,0.950321
50,0.952325
50,0.843254
50,0.638071
50,0.765361
50,0.82294
50,0.899379
50,0.956017
50,0.95411
50,0.767998
50,0.955696
50,0.889482
50,0.951912
50,0.954432
50,0.823223
50,0.905478
50,0.883125
50,0.826902
50,0.95446
50,0.952666
50,0.913974
50,0.842081
50,0.952879
50,0.914195
50,0.73224
50,0.892165
50,0.663082
50,0.953266
50,0.95608
50,0.955403
50,0.811499
50,0.817864
50,0.949551
50,0.87402
50,0.952962
50,0.95774
50,0.956291
50,0.679214
50,0.95583
50,0.956802
50,0.950921
50,0.887988
50,0.912018
50,0.957271
50,0.954992
50,0.955558
50,0.957492
50,0.957112
50,0.733605
50,0.955272
50,0.88632
50,0.957061
50,0.953918
50,0.916915
50,0.852778
50,0.904943
50,0.957816
50,0.892833
50,0.953046
50,0.953892
50,0.878353
50,0.953946
50,0.95254
50,0.948522
50,0.891597
50,0.88675
50,0.953074
50,0.89371
50,0.958971
50,0.957538
50,0.938642
50,0.955244
50,0.951449
50,0.958848
50,0.954879
50,0.953151
50,0.951429
50,0.95158
50,0.957686
50,0.96202
50,0.827125
50,0.949428
50,0.959231
50,0.957886
50,0.950887
50,0.95264
50,0.961291
50,0.95239
50,0.953019
50,0.961271
50,0.954997
50,0.955184
50,0.960205
50,0.892346
50,0.948032
50,0.956806
50,0.954724
50,0.889089
50,0.951896
50,0.949129
50,0.962017
50,0.891447
50,0.960231
50,0.954296
50,0.955311
50,0.957709
50,0.956534
50,0.958458
50,0.843335
50,0.841855
50,0.890596
