# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
193,1,230.8545,562.942,231.0438,218269.9956,164116.9331,110775.4318,501,0.001058,0.0,0,1,231.0438
212,1,257.5431,641.6861,258.0005,245968.2332,179126.4826,118217.0781,539,0.001047,0.0,0,1,258.0005
215,1,262.9749,591.8933,237.528,249129.0519,180695.9969,119968.661,545,0.001056,1.0,1,0,237.528
217,1,272.4363,641.6339,272.4515,250717.6102,181596.8077,120472.7402,547,0.001087,0.0,0,1,272.4515
220,1,263.8885,766.7363,264.0266,253568.7423,183415.9396,121079.4301,551,0.001041,0.0,0,1,264.0266
225,1,206.5863,521.6313,206.6492,257829.0319,185565.8345,123420.6115,559,0.000801,0.0,0,1,206.6492
233,1,229.8245,627.8914,230.2128,268851.4601,189858.1916,126705.9522,573,0.000855,0.0,0,1,230.2128
237,1,262.7357,626.2289,263.038,273331.3343,193116.5044,127826.6936,581,0.000961,0.0,0,1,263.038
238,1,244.9424,626.25,245.2186,273153.3077,192883.6895,127868.7894,580,0.000897,0.0,0,1,245.2186
244,1,276.3842,668.1702,276.7195,283777.1015,196482.0968,128662.5437,588,0.000974,0.0,0,1,276.7195
249,2,498.6738,1322.125,499.8409,290815.3653,199835.6355,130022.5581,597,0.001715,0.0,0,2,292.2935
252,1,291.1832,692.5947,291.9115,294826.993,201243.8136,132453.9191,605,0.000988,0.0,0,1,291.9115
253,1,269.1642,697.0591,269.4606,295798.9206,201804.6426,133292.773,608,0.00091,0.0,0,1,269.4606
256,3,772.657,1915.308,773.6327,297979.4428,202772.7049,134767.8408,612,0.002593,0.0,0,3,243.4855
258,1,271.9804,664.0422,272.283,299388.0992,204686.0653,135282.351,617,0.000908,0.0,0,1,272.283
266,1,218.7161,523.4446,218.8383,310568.6153,208715.2936,138194.7633,629,0.000704,0.0,0,1,218.8383
268,1,230.3171,582.5555,230.4027,313964.9275,210265.8851,137929.2837,631,0.000734,0.0,0,1,230.4027
269,1,250.8402,623.9643,251.1706,314707.3487,210395.8061,138418.1838,632,0.000797,0.0,0,1,251.1706
271,1,242.1812,685.8189,242.3048,317370.3151,211425.2026,140678.4436,639,0.000763,0.0,0,1,242.3048
272,1,281.4315,684.775,282.0071,318858.1225,212926.3711,139851.9938,640,0.000883,0.0,0,1,282.0071
274,1,269.1897,583.5597,269.5391,321536.4883,213997.9922,142925.2419,649,0.000837,0.0,0,1,269.5391
275,2,481.5568,1143.7412,460.117,322619.2403,215015.9105,143002.3486,651,0.001493,0.5,1,1,237.367
276,1,255.1546,631.9747,255.697,323988.6998,216791.1799,140712.9328,649,0.000788,0.0,0,1,255.697
278,2,633.2843,1453.9213,633.6174,326621.3798,217265.1083,141117.1211,650,0.001939,0.0,0,2,334.962
280,2,493.6366,1255.3829,494.1522,329224.3854,217879.4327,141547.0397,652,0.001499,0.0,0,2,255.3175
281,1,228.0609,599.5857,228.2277,329267.5657,217457.6235,142516.941,653,0.000693,0.0,0,1,228.2277
282,1,217.66,597.5601,217.6812,330222.4167,217736.559,142061.5379,652,0.000659,0.0,0,1,217.6812
284,1,256.3483,606.2505,256.3604,332579.3175,217982.9331,144242.1518,657,0.000771,0.0,0,1,256.3604
286,2,520.6134,1253.139,521.2716,333309.3026,217909.0355,145596.0028,659,0.001562,0.0,0,2,276.948
289,4,1110.368,2890.2044,1081.6925,341298.7375,222879.9061,144436.7373,667,0.003253,0.25,1,3,281.4869
290,2,582.9673,1393.2361,583.4711,339069.9622,221689.7686,145192.0763,666,0.001719,0.0,0,2,295.4371
