step,value
0,0.037508
0,0.029399
0,0.032075
0,0.031551
0,0.036764
0,0.036572
0,0.038951
0,0.029637
0,0.033802
0,0.02884
0,0.032281
0,0.035262
0,0.028605
0,0.031733
0,0.036272
0,0.03572
0,0.031976
0,0.036766
0,0.03948
0,0.028902
0,0.037698
0,0.037797
0,0.033927
0,0.030311
0,0.039803
0,0.033014
0,0.030713
0,0.029714
0,0.040362
0,0.036487
0,0.037776
0,0.035452
0,0.036094
0,0.036609
0,0.03376
0,0.036109
0,0.040143
0,0.037055
0,0.038521
0,0.036262
0,0.037884
0,0.02899
0,0.032295
0,0.03268
0,0.030085
0,0.031619
0,0.029503
0,0.032135
0,0.037211
0,0.034336
0,0.03372
0,0.031238
0,0.032651
0,0.03948
0,0.037429
0,0.036885
0,0.030604
0,0.038671
0,0.031404
0,0.033725
0,0.042315
0,0.037335
0,0.036123
0,0.038243
0,0.040076
0,0.037301
0,0.032346
0,0.028982
0,0.032738
0,0.031779
0,0.03145
0,0.039687
0,0.04015
0,0.033635
0,0.037479
0,0.033733
0,0.039357
0,0.034816
0,0.031859
0,0.032682
0,0.036099
0,0.031753
0,0.036537
0,0.040778
0,0.033855
0,0.032165
0,0.042263
0,0.035315
0,0.02965
0,0.029126
0,0.030501
0,0.037119
0,0.037525
0,0.034586
0,0.029663
0,0.033754
0,0.04208
0,0.035669
0,0.040232
0,0.040274
0,0.035084
0,0.031304
0,0.033909
50,0.028574
50,0.023766
50,0.026609
50,0.023616
50,0.028218
50,0.029008
50,0.029524
50,0.023043
50,0.027062
50,0.023968
50,0.025599
50,0.026701
50,0.023657
50,0.024594
50,0.027699
50,0.027955
50,0.024367
50,0.027272
50,0.028643
50,0.022129
50,0.028992
50,0.028142
50,0.025423
50,0.024173
50,0.028883
50,0.026672
50,0.024899
50,0.022979
50,0.028958
50,0.027113
50,0.028655
50,0.027504
50,0.027658
50,0.028904
50,0.026034
50,0.027573
50,0.028528
50,0.026804
50,0.029665
50,0.027491
50,0.026377
50,0.023218
50,0.02417
50,0.02534
50,0.023369
50,0.024471
50,0.023279
50,0.024376
50,0.028721
50,0.024808
50,0.025589
50,0.024757
50,0.025726
50,0.032381
50,0.027836
50,0.02852
50,0.0233
50,0.0291
50,0.02523
50,0.025182
50,0.030878
50,0.027886
50,0.027894
50,0.027611
50,0.030051
50,0.029166
50,0.024333
50,0.024904
50,0.025735
50,0.024267
50,0.025073
50,0.029819
50,0.028448
50,0.025873
50,0.026926
50,0.026119
50,0.030278
50,0.027057
50,0.024413
50,0.024578
50,0.026821
50,0.023451
50,0.027906
50,0.029298
50,0.025734
50,0.024132
50,0.03016
50,0.025523
50,0.025267
50,0.022975
50,0.022492
50,0.027719
50,0.028705
50,0.026585
50,0.022043
50,0.025812
50,0.030269
50,0.026628
50,0.029346
50,0.028747
50,0.026013
50,0.023776
50,0.026357
50,0.025957
50,0.029432
50,0.024828
50,0.028348
50,0.026062
50,0.027244
50,0.026501
50,0.026977
50,0.025696
50,0.023095
50,0.027597
50,0.025941
50,0.026426
50,0.028087
50,0.025599
50,0.024041
50,0.024531
50,0.025265
50,0.023065
50,0.027876
50,0.028012
50,0.026954
50,0.028358
50,0.029234
50,0.031986
50,0.02545
50,0.024375
50,0.02976
50,0.023955
50,0.028167
50,0.02759
50,0.024938
50,0.026676
50,0.028836
50,0.025652
50,0.029416
50,0.028443
50,0.029548
50,0.030191
50,0.02659
50,0.023586
50,0.024094
50,0.030896
50,0.024767
50,0.025419
50,0.02918
50,0.028348
50,0.023823
50,0.028367
50,0.030712
50,0.023881
50,0.029816
50,0.028226
50,0.024386
50,0.024464
50,0.031992
50,0.026368
50,0.028724
50,0.02498
50,0.029589
50,0.030288
50,0.024255
50,0.02434
50,0.024608
50,0.028957
50,0.028072
50,0.027119
50,0.026543
50,0.026676
50,0.024886
50,0.025192
50,0.024849
50,0.028856
50,0.025697
50,0.029198
