# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,103,21,0,22169.9902,20869.9951,20487.5141,382.481,0.941362,0.981673,0.017252,0.048849,0,0.0
1,104,21,0,23486.9167,22017.2156,20847.22,382.481,0.937425,0.94686,0.016285,0.048849,0,0.0
2,107,27,0,25281.6821,23630.3476,21491.8464,489.4881,0.934683,0.909502,0.019361,0.03789,0,0.0
3,109,29,0,26770.3265,24980.5756,21965.2167,534.5342,0.933144,0.879292,0.019967,0.035324,0,0.0
4,111,31,0,28207.7469,26303.3654,22422.9405,571.4411,0.932487,0.852474,0.020258,0.033019,0,0.0
5,111,39,0,29304.4423,27257.515,22406.1144,730.8129,0.93015,0.822016,0.024939,0.02615,0,0.0
6,112,41,0,30433.7236,28266.8371,22672.0891,774.7974,0.9288,0.802074,0.025459,0.024877,0,0.0
7,114,42,0,31701.7762,29437.5661,23132.7385,791.4716,0.928578,0.785824,0.024966,0.024284,0,0.0
8,115,42,0,32710.3166,30384.3273,23384.5178,791.4716,0.928891,0.769624,0.024196,0.024284,0,0.0
9,115,43,0,33486.9613,31113.1922,23411.1416,812.6276,0.929114,0.752451,0.024267,0.023713,0,0.0
10,117,43,0,34616.5013,32185.3734,23848.5004,812.6276,0.92977,0.740973,0.023475,0.023713,0,0.0
11,121,46,0,36200.0205,33668.6145,24647.3908,874.0153,0.930072,0.732058,0.024144,0.022175,0,0.0
12,124,51,0,37628.8108,34962.7743,25228.0664,997.9701,0.929149,0.721569,0.026521,0.020095,0,0.0
13,128,51,0,39132.2523,36358.3895,26095.8927,997.9701,0.929116,0.717741,0.025502,0.020095,0,0.0
14,130,51,0,40211.1227,37373.8516,26539.301,997.9701,0.929441,0.710103,0.024818,0.020095,0,0.0
15,133,57,0,41625.4586,38651.9775,27102.2639,1141.2172,0.928566,0.701187,0.027416,0.018022,0,0.0
16,136,59,0,42923.6508,39833.1067,27747.4056,1183.1385,0.927999,0.696592,0.027564,0.017396,0,0.0
17,136,63,0,43638.9652,40444.8113,27749.884,1284.2699,0.926805,0.686117,0.029429,0.01632,0,0.0
18,137,66,0,44485.7297,41187.895,27983.1191,1344.7156,0.925868,0.679402,0.030228,0.015584,0,0.0
19,137,67,0,45049.4127,41688.4013,28027.8606,1363.1508,0.925393,0.672318,0.030259,0.015348,0,0.0
20,140,68,0,46218.6534,42774.0319,28657.5777,1387.0438,0.925471,0.669976,0.03001,0.01512,0,0.0
21,147,78,0,48476.8437,44788.2143,29964.0264,1654.603,0.923909,0.669016,0.034132,0.013257,0,0.0
22,148,80,0,49261.9261,45449.858,30247.3317,1684.7364,0.922616,0.66551,0.0342,0.01295,0,0.0
23,149,81,0,50018.0497,46120.0928,30500.5581,1707.3989,0.922069,0.661329,0.034136,0.012785,0,0.0
24,155,88,0,51961.5038,47866.5942,31663.7868,1881.1229,0.921193,0.661501,0.036202,0.011783,0,0.0
25,157,89,0,52930.8907,48727.3513,32134.316,1899.2234,0.920584,0.659472,0.035881,0.011651,0,0.0
26,158,89,0,53657.3263,49392.8595,32385.2434,1899.2234,0.920524,0.655667,0.035395,0.011651,0,0.0
27,160,91,0,54626.2898,50281.32,32793.2439,1951.7259,0.92046,0.652195,0.035729,0.011395,0,0.0
28,162,91,0,55528.4073,51124.9347,33231.7467,1951.7259,0.920699,0.650011,0.035148,0.011395,0,0.0
29,167,93,0,57092.0655,52590.3904,34237.6875,1993.9876,0.921151,0.651026,0.034926,0.011153,0,0.0
30,171,93,0,58424.8013,53847.5825,35073.2312,1993.9876,0.921656,0.651343,0.034129,0.011153,0,0.0
31,173,93,0,59341.3925,54719.6146,35497.7903,1993.9876,0.922115,0.648721,0.033602,0.011153,0,0.0
32,175,101,0,60449.33,55684.9978,35812.016,2202.3162,0.921185,0.643118,0.036432,0.010284,0,0.0
33,178,101,0,61541.5536,56675.3677,36483.8697,2202.3162,0.920928,0.643734,0.035786,0.010284,0,0.0
34,179,101,0,62210.5342,57294.0245,36724.1935,2202.3162,0.92097,0.640978,0.035401,0.010284,0,0.0
35,180,103,0,62905.0532,57929.1795,36931.0525,2244.8212,0.920899,0.637521,0.035686,0.010078,0,0.0
36,183,105,0,64015.9325,58948.6864,37535.5637,2301.6824,0.920844,0.63675,0.035955,0.009892,0,0.0
37,185,105,0,64857.9986,59733.567,37972.7492,2301.6824,0.92099,0.635702,0.035488,0.009892,0,0.0
38,186,108,0,65567.0257,60365.2768,38157.1844,2384.5645,0.920665,0.632105,0.036368,0.009619,0,0.0
39,188,108,0,66388.4918,61123.3382,38600.5891,2384.5645,0.920692,0.63152,0.035918,0.009619,0,0.0
40,189,114,0,67126.4108,61757.4253,38757.7638,2521.2217,0.920017,0.627581,0.037559,0.009162,0,0.0
41,190,119,0,67838.6935,62340.0773,38946.6732,2651.943,0.918946,0.624745,0.039092,0.00879,0,0.0
42,190,131,0,68486.3896,62775.2581,38868.0672,2943.0643,0.916609,0.619162,0.042973,0.007993,0,0.0
43,192,131,0,69239.1485,63391.9083,39384.176,2943.0643,0.91555,0.621281,0.042506,0.007993,0,0.0
44,194,147,0,70389.3156,64263.4844,39652.0706,3333.7606,0.912972,0.617023,0.047362,0.007143,0,0.0
45,197,149,0,71399.3683,65079.3718,40367.8608,3382.1357,0.911484,0.620287,0.047369,0.007043,0,0.0
46,199,149,0,72165.8965,65739.0977,40854.6631,3382.1357,0.910944,0.621467,0.046866,0.007043,0,0.0
47,201,162,0,73278.8916,66611.4719,41134.9771,3722.4426,0.909013,0.617536,0.050798,0.006462,0,0.0
48,203,166,0,74148.7029,67287.7925,41602.7006,3828.2098,0.907471,0.61828,0.051629,0.006305,0,0.0
49,204,169,0,74784.195,67780.9992,41854.9264,3908.2694,0.906355,0.617502,0.052261,0.006192,0,0.0
50,205,173,0,75430.8053,68295.7176,42074.8829,4010.2048,0.905409,0.616069,0.053164,0.006048,0,0.0
51,207,173,0,76175.144,68953.0426,42541.8967,4010.2048,0.905191,0.616969,0.052645,0.006048,0,0.0
52,208,174,0,76740.66,69455.5968,42765.8828,4039.1804,0.905069,0.61573,0.052634,0.006013,0,0.0
53,212,185,0,78199.9162,70691.3865,43448.7447,4339.785,0.903983,0.614626,0.055496,0.005654,0,0.0
54,213,191,0,78903.8261,71202.1444,43666.5809,4505.1007,0.902392,0.613276,0.057096,0.005473,0,0.0
55,215,191,0,79640.5429,71822.1861,44163.2561,4505.1007,0.901829,0.614897,0.056568,0.005473,0,0.0
56,217,194,0,80466.3377,72533.1022,44576.727,4586.5085,0.901409,0.614571,0.056999,0.005387,0,0.0
57,219,209,0,81602.1281,73399.2058,44830.2743,4982.6481,0.899477,0.610773,0.06106,0.004998,0,0.0
58,220,215,0,82266.0998,73846.8685,45089.5886,5129.6427,0.897659,0.610582,0.062354,0.004858,0,0.0
59,220,224,0,82790.4108,74151.4748,45083.26,5355.6759,0.895653,0.607989,0.06469,0.004666,0,0.0
60,221,226,0,83332.7688,74541.7101,45368.6,5412.4587,0.894507,0.608634,0.06495,0.004624,0,0.0
61,221,226,0,83603.9667,74739.0235,45442.4844,5412.4587,0.893965,0.608015,0.064739,0.004624,0,0.0
62,223,227,0,84305.9907,75368.8266,45868.2206,5438.9436,0.893991,0.608583,0.064514,0.004603,0,0.0
