step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.836829
10,0.83917
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.836575
20,0.835549
20,0.833744
20,0.83917
20,0.841698
20,0.831586
30,0.712701
30,0.712701
30,0.706964
30,0.708203
30,0.714398
30,0.727404
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.848374
30,0.847213
30,0.838823
30,0.835549
30,0.834623
30,0.832831
30,0.862857
30,0.863314
30,0.866015
30,0.871125
30,0.875633
30,0.882695
40,0.714063
40,0.764044
40,0.757294
40,0.750613
40,0.747324
40,0.744093
40,0.730787
40,0.730787
40,0.774374
40,0.81049
40,0.81049
40,0.858694
40,0.857774
40,0.850633
40,0.847213
40,0.846033
40,0.84242
40,0.860822
40,0.860605
40,0.860423
40,0.860403
40,0.860474
40,0.860615
40,0.887435
40,0.957982
40,0.935404
50,0.642677
50,0.683787
50,0.679235
50,0.671234
50,0.668268
50,0.665961
50,0.651366
50,0.718849
50,0.709879
50,0.752131
50,0.752131
50,0.744149
50,0.865953
50,0.860463
50,0.857774
50,0.856829
50,0.853843
50,0.865003
50,0.864596
50,0.863946
50,0.863314
50,0.863008
50,0.862711
50,0.878889
50,0.881498
50,0.879744
50,0.883607
50,0.86705
50,0.865266
50,0.866744
50,0.888353
50,0.934865
50,0.95556
60,0.633632
60,0.629717
60,0.624491
60,0.633029
60,0.645938
60,0.671804
60,0.698663
60,0.68738
60,0.681051
60,0.67471
60,0.67471
60,0.769431
60,0.829262
60,0.868006
60,0.865953
60,0.865231
60,0.862944
60,0.869947
60,0.869545
60,0.86886
60,0.868159
60,0.867803
60,0.867445
60,0.878974
60,0.880263
60,0.878957
60,0.88154
60,0.863939
60,0.863976
60,0.863745
60,0.880193
60,0.865089
60,0.882455
60,0.884768
60,0.885367
60,0.921391
60,0.958616
70,0.589679
70,0.6034
70,0.61416
70,0.622072
70,0.653728
70,0.650823
70,0.638618
70,0.662703
70,0.657876
70,0.713713
70,0.713713
70,0.792576
70,0.769308
70,0.873784
70,0.872205
70,0.871651
70,0.869901
70,0.874465
70,0.874114
70,0.873501
70,0.872865
70,0.872539
70,0.872208
70,0.880416
70,0.881226
70,0.880191
70,0.882113
70,0.86783
70,0.867904
70,0.867539
70,0.880526
70,0.866766
70,0.881523
70,0.882653
70,0.882687
70,0.884189
70,0.882352
70,0.890985
70,0.895596
70,0.933105
70,0.914514
70,0.945081
80,0.553791
80,0.549119
80,0.548714
80,0.555627
80,0.606054
80,0.601662
80,0.595081
80,0.591728
80,0.624885
80,0.651012
80,0.651012
80,0.710047
80,0.789109
80,0.878268
80,0.877036
80,0.876605
80,0.875247
80,0.878326
80,0.87803
80,0.877507
80,0.876964
80,0.876684
80,0.876399
80,0.882306
80,0.882815
80,0.882006
80,0.883433
80,0.87224
80,0.872311
80,0.871956
80,0.881911
80,0.870719
80,0.882483
80,0.883431
80,0.883372
80,0.884082
80,0.88191
80,0.884901
80,0.886335
80,0.884113
80,0.885454
80,0.885598
80,0.901657
80,0.910434
80,0.902226
80,0.798412
80,0.91669
80,0.946669
90,0.480515
90,0.489693
90,0.513763
90,0.505681
90,0.506941
90,0.515039
90,0.553225
90,0.550694
90,0.578932
