step,volume_joules,nb_entites,ratio_destruction
338,399.7791,1,0.001425
341,458.7816,1,0.001613
342,371.1131,1,0.001313
346,386.9016,1,0.00134
351,400.9569,1,0.001363
354,368.3978,1,0.001233
357,745.7934,2,0.00247
359,346.237,1,0.001151
361,397.0694,1,0.00132
364,346.841,1,0.001143
365,837.3328,2,0.002764
367,428.1502,1,0.001419
368,335.0075,1,0.001114
369,436.6977,1,0.001453
370,1122.5541,3,0.00375
371,769.9965,2,0.002605
373,795.8972,2,0.002709
375,788.8745,2,0.002707
376,511.7576,1,0.001772
377,1158.9003,3,0.004001
381,366.957,1,0.001276
382,320.4407,1,0.001117
383,338.6831,1,0.001184
387,435.4636,1,0.001495
388,393.824,1,0.001354
392,455.3931,1,0.001542
397,1195.1646,3,0.003988
399,426.372,1,0.001445
400,445.6432,1,0.001519
407,410.148,1,0.001364
408,337.3978,1,0.001127
410,353.5857,1,0.00117
411,447.2819,1,0.001484
413,394.7027,1,0.001309
417,711.6766,2,0.002348
419,528.628,1,0.001744
421,527.5815,1,0.001746
427,386.6549,1,0.001258
428,457.7635,1,0.001495
429,452.9271,1,0.001487
432,426.8321,1,0.001395
434,376.1728,1,0.001232
435,477.4937,1,0.001566
437,473.6602,1,0.001546
444,1052.878,2,0.003369
445,411.3742,1,0.001335
447,453.4292,1,0.00147
450,935.1729,2,0.00302
452,451.9905,1,0.001468
453,460.0258,1,0.001504
456,552.2783,1,0.001791
457,1332.4045,3,0.00436
459,450.1277,1,0.001498
462,451.0747,1,0.001484
463,441.9721,1,0.001463
468,407.6206,1,0.001324
471,505.6335,1,0.00164
475,933.22,2,0.002993
476,517.1176,1,0.001683
477,455.2055,1,0.001492
478,430.9056,1,0.001414
480,489.4608,1,0.001599
487,372.2787,1,0.001194
497,403.198,1,0.001234
498,458.8771,1,0.001412
500,439.0967,1,0.001347
502,484.3933,1,0.00149
505,474.5741,1,0.00144
511,515.6645,1,0.001536
514,589.3548,1,0.001755
516,1174.9532,2,0.003512
518,514.8668,1,0.001558
519,576.706,1,0.001756
523,456.2591,1,0.001368
524,615.8021,1,0.001859
549,527.728,1,0.00144
552,588.8534,1,0.0016
556,371.1161,1,0.001003
558,1073.5452,2,0.002885
559,487.2697,1,0.001329
565,424.4076,1,0.001134
567,371.6463,1,0.000994
575,433.3605,1,0.00112
577,1333.1609,3,0.003445
585,446.242,1,0.001136
588,364.8478,1,0.000924
591,383.4714,1,0.000957
594,357.8695,1,0.000891
595,355.5853,1,0.000889
597,467.0494,1,0.001166
598,561.6835,1,0.001411
602,443.3469,1,0.001104
604,409.135,1,0.001017
606,327.6049,1,0.000809
607,695.7916,2,0.001726
609,387.514,1,0.000964
610,486.1816,1,0.001216
611,823.4032,2,0.002067
614,391.3504,1,0.00098
615,475.6979,1,0.001197
616,1546.0817,3,0.003913
626,362.3818,1,0.000895
628,473.9776,1,0.001167
631,368.5963,1,0.000901
635,442.5841,1,0.001063
639,610.9198,1,0.001442
640,461.1607,1,0.001093
641,960.4249,2,0.002267
642,563.6789,1,0.001347
645,408.9006,1,0.000974
649,845.4991,2,0.001986
651,525.702,1,0.001246
652,878.5797,2,0.002092
653,820.3008,2,0.001976
657,1022.0027,2,0.002427
658,787.578,2,0.001898
662,540.2663,1,0.001293
664,520.469,1,0.001245
666,827.7671,2,0.001975
670,496.9539,1,0.001182
674,1229.9998,2,0.002886
675,624.0552,1,0.001483
676,384.8744,1,0.000922
682,618.2944,1,0.001442
685,1152.087,2,0.002675
686,429.1256,1,0.001009
687,454.7428,1,0.00107
693,560.9375,1,0.001297
695,1056.4604,2,0.002433
696,517.271,1,0.001209
698,472.6428,1,0.001102
700,405.7267,1,0.000937
701,469.2461,1,0.00109
702,1168.4598,2,0.002721
704,614.8369,1,0.001444
707,561.5678,1,0.001317
715,477.0166,1,0.001094
717,581.539,1,0.001328
721,826.8277,2,0.001873
724,821.0147,2,0.00186
726,425.7538,1,0.000972
732,544.6803,1,0.001215
733,894.1187,2,0.002007
734,514.2399,1,0.001163
735,558.6977,1,0.00127
741,2137.7691,4,0.004764
742,1526.2333,3,0.003484
743,549.0371,1,0.00128
744,362.7325,1,0.00085
745,463.1523,1,0.001085
746,767.0916,2,0.001807
748,370.6199,1,0.000874
752,470.2268,1,0.001099
753,1728.7696,4,0.004051
756,413.3853,1,0.00098
757,808.2817,2,0.001923
759,1454.5132,3,0.003468
762,496.5095,1,0.001196
765,378.7456,1,0.000906
771,466.8929,1,0.001098
772,462.843,1,0.001093
777,418.7521,1,0.000976
778,452.0541,1,0.001058
780,571.8395,1,0.001337
781,407.5056,1,0.000958
786,369.534,1,0.000858
791,468.0288,1,0.001063
792,1129.8535,2,0.002583
793,904.4528,2,0.002085
795,1449.0091,3,0.003372
796,1085.7328,2,0.002581
797,390.7459,1,0.000942
798,415.5632,1,0.001007
799,488.181,1,0.001186
805,463.51,1,0.00111
807,410.6475,1,0.000979
808,998.6983,2,0.00238
813,687.5502,1,0.001639
814,1013.5526,2,0.002435
815,1018.2324,2,0.002479
816,512.9278,1,0.001264
817,1603.3658,3,0.003971
822,590.0456,1,0.001469
823,2045.9437,4,0.005138
826,403.5959,1,0.00104
829,970.062,2,0.002485
833,1017.5457,2,0.002602
834,384.0463,1,0.000999
840,1186.1788,2,0.003031
842,451.231,1,0.00117
844,1418.7597,3,0.00368
845,513.375,1,0.001363
850,719.1039,1,0.001891
858,510.269,1,0.001316
861,468.2015,1,0.0012
862,494.7292,1,0.001272
863,1082.4556,2,0.002803
865,637.4462,1,0.001667
867,505.1233,1,0.001327
869,442.2358,1,0.001159
874,846.9655,2,0.002203
875,682.7364,1,0.001802
876,508.4515,1,0.001353
880,452.2344,1,0.001194
882,617.5592,1,0.001636
883,377.4574,1,0.001005
886,446.3288,1,0.001176
889,880.2212,2,0.002301
890,598.1063,1,0.001587
894,1375.9915,3,0.003624
895,417.7428,1,0.001124
896,436.8139,1,0.001182
898,428.6032,1,0.001161
899,500.9359,1,0.001364
900,448.4966,1,0.00123
902,469.7089,1,0.00128
906,502.9867,1,0.001366
907,899.1429,2,0.002456
909,580.3553,1,0.001608
910,531.6776,1,0.00148
911,1171.297,2,0.003282
912,403.8166,1,0.00115
913,577.5131,1,0.001654
921,512.0486,1,0.001427
923,540.2743,1,0.001514
925,408.6602,1,0.001142
931,412.4161,1,0.001137
932,585.7303,1,0.001627
933,416.1667,1,0.001166
934,526.3736,1,0.001484
935,434.11,1,0.001223
941,538.2331,1,0.001495
942,497.3348,1,0.001394
944,539.3894,1,0.001508
945,399.9731,1,0.001127
946,563.7109,1,0.001598
948,600.8473,1,0.001708
951,398.1952,1,0.001131
953,1256.59,2,0.003545
954,480.5247,1,0.001385
958,671.9358,1,0.001933
959,627.0966,1,0.00182
961,435.343,1,0.001264
963,437.0828,1,0.001269
965,401.0123,1,0.001167
967,596.5959,1,0.001737
968,623.7087,1,0.00183
974,413.3568,1,0.001193
975,396.239,1,0.00115
976,500.2685,1,0.001453
977,918.1786,2,0.002688
978,417.4715,1,0.001244
979,845.5745,2,0.002515
980,396.524,1,0.001199
988,483.4837,1,0.001425
990,498.0587,1,0.001474
995,390.1633,1,0.001136
999,591.6068,1,0.001714
1003,650.7334,1,0.001873
1012,409.749,1,0.00114
1014,584.4694,1,0.001626
1015,441.4068,1,0.001234
1016,595.0461,1,0.001673
1026,604.2716,1,0.001646
1028,598.1496,1,0.001618
1030,507.565,1,0.001374
1032,542.3329,1,0.001472
1034,554.1293,1,0.00151
1036,542.1427,1,0.001474
1041,1032.3693,2,0.002748
1044,378.7809,1,0.001016
1045,935.8041,2,0.002521
1047,599.6318,1,0.001623
1048,502.2246,1,0.001371
1049,454.7408,1,0.001249
1051,1230.3305,2,0.00337
1054,488.1263,1,0.001345
1055,478.0968,1,0.001325
1058,473.9443,1,0.001307
1067,390.4744,1,0.001031
1068,930.7921,2,0.002466
1069,453.424,1,0.001214
1072,399.3751,1,0.001062
1074,442.9728,1,0.001176
1081,458.9902,1,0.001182
1090,1011.3796,2,0.002525
1092,510.2973,1,0.001285
1095,494.2242,1,0.001225
1098,447.2931,1,0.001106
1099,567.1869,1,0.00141
1100,1103.4889,2,0.002759
1101,478.0276,1,0.00121
1104,485.357,1,0.001223
1106,487.2387,1,0.001219
1107,458.0963,1,0.001152
1112,418.9718,1,0.001041
1113,438.4202,1,0.001088
1116,450.3622,1,0.001118
1117,474.9818,1,0.001183
1119,1436.7926,3,0.00358
1120,425.7264,1,0.001082
1122,1205.6919,2,0.00304
1123,427.8301,1,0.001097
1127,450.3931,1,0.001141
1128,717.9518,1,0.001831
1129,899.1655,2,0.002296
1130,465.61,1,0.001207
1133,609.3709,1,0.001576
1134,668.6236,1,0.001739
1137,489.5518,1,0.00127
1138,607.4327,1,0.001573
1139,704.2935,1,0.001839
1140,1299.2996,3,0.003414
1142,446.6792,1,0.001195
1145,387.4888,1,0.001028
1151,386.0148,1,0.001005
1152,1302.7988,2,0.003386
1153,1160.1589,2,0.003066
1157,464.7114,1,0.001232
1158,589.1175,1,0.001561
1162,563.9235,1,0.00147
1163,500.5078,1,0.001312
1166,465.968,1,0.001212
1167,455.1477,1,0.001192
1175,408.2982,1,0.001036
1179,393.407,1,0.000986
1186,567.5263,1,0.00139
1187,517.0456,1,0.001274
1192,365.2838,1,0.000888
1193,375.8938,1,0.000918
