step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,131,131,1,292.9249,0.0,0,461.4349,0,0.0,0.0,0,0,1570.8664,1116.4349,1109.4315,8.5224,0.171273
1,131,131,0,382.4304,0.0,0,422.0685,0,0.0,0.0,0,0,1909.6165,1524.6604,1039.9561,11.6386,0.146561
2,131,131,0,446.9122,0.0,0,414.6607,0,0.0,0.0,0,0,2300.7015,1913.2313,1042.4702,14.6048,0.130834
3,132,132,1,502.869,0.0,0,429.0625,0,0.0,0.0,0,0,2744.7167,2309.5468,1095.1699,17.4966,0.119695
4,133,133,1,554.1856,0.0,0,453.8746,0,0.0,0.0,0,0,3226.2288,2718.935,1172.2938,20.4431,0.110893
5,133,133,0,600.9226,0.0,0,481.4659,0,0.0,0.0,0,0,3730.0691,3138.7829,1256.2862,23.5999,0.10312
6,133,133,0,645.7805,0.0,0,513.2391,0,0.0,0.0,0,0,4263.5948,3577.8084,1350.7863,26.9008,0.096543
7,133,133,0,689.5394,0.0,0,547.4994,0,0.0,0.0,0,0,4824.9434,4037.9236,1452.0198,30.3603,0.090852
8,133,133,0,732.5864,0.0,0,583.2232,0,0.0,0.0,0,0,5412.65,4519.9591,1557.6909,33.9847,0.085855
9,133,133,0,775.1177,0.0,0,619.7811,0,0.0,0.0,0,0,6025.4628,5024.0914,1666.3714,37.7751,0.081423
10,133,133,0,817.231,0.0,0,656.7793,0,0.0,0.0,0,0,6662.249,5550.098,1777.151,41.7301,0.07746
11,134,134,1,861.2079,0.0,0,697.4894,0,0.0,0.0,0,0,7333.9368,6106.0344,1897.9024,45.5674,0.074622
12,134,134,0,903.2775,0.0,0,734.4026,0,0.0,0.0,0,0,8018.1097,6677.3559,2010.7537,49.831,0.071236
13,134,134,0,944.805,0.0,0,771.4772,0,0.0,0.0,0,0,8723.5829,7268.6125,2124.9703,54.2434,0.068211
14,135,135,1,988.1319,0.0,0,812.0572,0,0.0,0.0,0,0,9461.2943,7887.7114,2248.583,58.4275,0.066254
15,136,136,1,1031.7398,0.0,0,852.2099,0,0.0,0.0,0,0,10220.8463,8528.54,2372.3063,62.7099,0.064383
16,136,136,0,1073.2124,0.0,0,888.5863,0,0.0,0.0,0,0,10989.6921,9181.67,2488.0221,67.5123,0.061829
17,136,136,0,1114.0217,0.0,0,925.1016,0,0.0,0.0,0,0,11776.6228,9851.7215,2604.9013,72.4391,0.059552
18,137,137,1,1156.5512,0.0,0,965.0835,0,0.0,0.0,0,0,12592.5934,10546.6534,2730.94,76.9829,0.058314
19,137,137,0,1197.0684,0.0,0,1001.0724,0,0.0,0.0,0,0,13415.252,11251.8762,2848.3758,82.1305,0.056249
20,137,137,0,1236.9586,0.0,0,1037.0653,0,0.0,0.0,0,0,14253.4976,11971.9352,2966.5625,87.3864,0.054396
21,138,138,1,1278.5769,0.0,0,1076.4361,0,0.0,0.0,0,0,15118.3636,12714.7631,3093.6005,92.136,0.05356
22,139,139,1,1320.4153,0.0,2,1098.0142,0,0.0,0.0,54.7972,2,16054.3529,13511.8317,3182.724,97.2074,0.051615
23,139,139,0,1365.072,2.8529,0,1140.1421,0,0.0,0.0,54.7972,2,16943.964,14267.4688,3316.698,102.6437,0.050165
24,140,140,1,1405.2515,2.8529,1,1174.0447,0,0.0,0.0,83.9051,3,17886.5104,15068.4474,3434.1579,107.6318,0.049054
25,140,140,0,1446.4626,4.2866,0,1215.3415,0,0.0,0.0,83.9051,3,18804.3072,15852.7355,3567.6666,113.2338,0.047772
26,141,141,1,1486.156,4.2866,1,1248.0204,0,0.0,0.0,114.6865,4,19775.386,16681.9552,3683.7443,118.3117,0.046815
27,142,142,1,1529.2208,5.727,1,1282.4816,0,0.0,0.0,146.291,5,20762.4434,17521.7327,3804.4197,123.3925,0.045923
28,143,143,1,1572.0075,7.1704,1,1318.062,0,0.0,0.0,178.7095,6,21764.7888,18372.8613,3928.2181,128.4815,0.045088
29,143,143,0,1612.3481,8.6167,0,1361.2796,0,0.0,0.0,178.7095,6,22736.5898,19204.405,4068.4753,134.2965,0.044057
30,143,143,0,1648.7621,8.6167,0,1401.1219,0,0.0,0.0,178.7095,6,23716.325,20050.8448,4201.7707,140.2157,0.043074
31,143,143,0,1685.0446,8.6167,0,1438.6622,0,0.0,0.0,178.7095,6,24703.558,20909.4316,4330.4169,146.2198,0.042141
32,143,143,0,1721.0857,8.6167,0,1474.5878,0,0.0,0.0,178.7095,6,25697.7807,21778.1864,4455.8848,152.295,0.041254
33,143,143,0,1756.8152,8.6167,0,1509.3394,0,0.0,0.0,178.7095,6,26698.4463,22655.6303,4579.1065,158.431,0.040413
34,143,143,0,1792.1889,8.6167,0,1543.1997,0,0.0,0.0,178.7095,6,27704.9904,23540.6111,4700.6699,164.6197,0.039614
35,144,144,1,1829.4162,8.6167,2,1556.0211,0,0.0,0.0,254.4287,8,28804.5557,24492.583,4777.544,170.0874,0.038983
36,144,144,0,1870.0254,11.5427,0,1597.6943,0,0.0,0.0,254.4287,8,29828.4522,25377.0998,4916.9237,176.2299,0.038274
37,144,144,0,1903.7499,11.5427,0,1635.7172,0,0.0,0.0,254.4287,8,30856.0757,26273.1041,5048.5429,182.4521,0.037593
38,144,144,0,1937.3263,11.5427,0,1671.2479,0,0.0,0.0,254.4287,8,31887.0914,27177.7588,5174.9039,188.7344,0.036941
39,146,146,2,1975.1313,11.5427,1,1699.2378,0,0.0,0.0,295.1974,9,32985.858,28134.0326,5286.6279,192.6989,0.03749
40,146,146,0,2013.1486,13.0132,3,1697.263,0,0.0,0.0,419.6186,12,34155.3113,29133.5958,5332.0969,199.5452,0.035974
41,147,147,1,2055.8457,17.4296,2,1724.1308,0,0.0,0.0,503.9584,14,35305.4301,30094.9585,5441.5132,204.7276,0.03555
42,147,147,0,2093.7862,20.3771,0,1777.1656,0,0.0,0.0,503.9584,14,36367.7115,30991.3254,5607.4278,210.8253,0.035021
43,149,149,2,2129.3612,20.3771,1,1815.3776,0,0.0,0.0,547.4945,15,37497.7832,31952.5492,5742.7395,214.4466,0.035665
