step,value
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,10.953441
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,19.432619
20,12.570347
20,10.953441
20,10.187276
20,9.468625
20,8.295427
20,7.957788
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,28.11598
30,21.176638
30,19.432619
30,18.561771
30,17.692537
30,15.962119
30,15.103005
30,12.570347
30,10.953441
30,7.938596
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,38.95258
40,36.519474
40,29.82748
40,28.11598
40,27.255684
40,26.392715
40,24.659946
40,23.79079
40,21.176638
40,19.432619
40,14.249839
40,11.751135
40,11.751135
40,9.468625
40,9.468625
40,8.823559
40,8.468943
40,8.468943
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,46.705293
50,44.440381
50,38.146667
50,36.519474
50,35.698456
50,34.872679
50,33.207478
50,32.368393
50,29.82748
50,28.11598
50,22.920257
50,20.304431
50,20.304431
50,17.692537
50,17.692537
50,16.82568
50,13.404659
50,13.404659
50,12.570347
50,8.823559
50,8.295427
50,8.468943
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,53.853829
60,51.775301
60,45.956333
60,44.440381
60,43.673511
60,42.900804
60,41.338186
60,40.548445
60,38.146667
60,36.519474
60,31.52523
60,28.973331
60,28.973331
60,26.392715
60,26.392715
60,25.527365
60,22.048733
60,22.048733
60,21.176638
60,16.82568
60,15.962119
60,13.404659
60,10.953441
60,10.187276
60,9.468625
60,8.823559
60,7.957788
60,7.957788
60,7.938596
60,7.938596
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,60.367609
70,58.480468
70,53.167343
70,51.775301
70,51.069778
70,50.357949
70,48.915486
70,48.184916
70,45.956333
70,44.440381
70,39.753209
70,37.33559
70,37.33559
70,34.872679
70,34.872679
70,34.042298
70,30.678189
70,30.678189
70,29.82748
70,25.527365
70,24.659946
70,22.048733
70,19.432619
70,18.561771
70,17.692537
70,16.82568
70,15.103005
70,15.103005
70,14.249839
70,14.249839
70,12.570347
70,8.823559
70,8.823559
70,8.823559
70,8.468943
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,66.249134
80,64.549979
80,59.74492
80,58.480468
80,57.838684
80,57.190515
80,55.87501
80,55.20767
80,53.167343
80,51.775301
80,47.44817
80,45.201342
80,45.201342
80,42.900804
80,42.900804
80,42.122335
80,38.95258
80,38.95258
80,38.146667
80,34.042298
80,33.207478
80,30.678189
80,28.11598
80,27.255684
80,26.392715
80,25.527365
80,23.79079
80,23.79079
80,22.920257
80,22.920257
80,21.176638
80,16.82568
80,16.82568
80,16.82568
80,13.404659
80,10.187276
80,8.823559
80,8.295427
80,8.295427
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,71.521716
90,70.001923
90,65.688889
90,64.549979
90,63.971257
90,63.386321
90,62.197708
90,61.593986
90,59.74492
90,58.480468
90,54.533941
90,52.474495
90,52.474495
90,50.357949
90,50.357949
90,49.639842
90,46.705293
90,46.705293
90,45.956333
90,42.122335
90,41.338186
90,38.95258
90,36.519474
90,35.698456
90,34.872679
90,34.042298
90,32.368393
90,32.368393
90,31.52523
90,31.52523
90,29.82748
90,25.527365
90,25.527365
90,25.527365
90,22.048733
90,18.561771
90,16.82568
90,15.962119
90,15.962119
90,10.187276
90,9.468625
90,8.823559
90,8.295427
90,7.957788
90,7.957788
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,76.221177
100,74.869065
100,71.020908
100,70.001923
100,69.483667
100,68.95952
100,67.8934
100,67.351357
100,65.688889
100,64.549979
100,60.983959
100,59.115877
100,59.115877
100,57.190515
100,57.190515
100,56.535958
100,53.853829
100,53.853829
100,53.167343
100,49.639842
100,48.915486
100,46.705293
100,44.440381
100,43.673511
100,42.900804
100,42.122335
100,40.548445
100,40.548445
100,39.753209
100,39.753209
100,38.146667
100,34.042298
100,34.042298
100,34.042298
100,30.678189
100,27.255684
100,25.527365
100,24.659946
100,24.659946
100,18.561771
100,17.692537
100,16.82568
100,15.962119
100,15.103005
100,15.103005
100,12.570347
100,9.468625
100,8.468943
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,80.390163
110,79.19248
110,75.77584
110,74.869065
110,74.407539
110,73.940529
110,72.989883
110,72.506162
110,71.020908
110,70.001923
110,66.803279
110,65.122514
110,65.122514
110,63.386321
110,63.386321
110,62.795146
110,60.367609
110,60.367609
110,59.74492
110,56.535958
110,55.87501
110,53.853829
110,51.775301
110,51.069778
110,50.357949
110,49.639842
110,48.184916
110,48.184916
110,47.44817
110,47.44817
110,45.956333
110,42.122335
110,42.122335
110,42.122335
110,38.95258
110,35.698456
110,34.042298
110,33.207478
110,33.207478
110,27.255684
110,26.392715
110,25.527365
110,24.659946
110,23.79079
110,23.79079
110,21.176638
110,17.692537
110,13.404659
110,10.953441
110,10.953441
110,10.953441
110,10.953441
110,10.953441
110,10.187276
110,8.295427
110,8.295427
110,7.938596
110,8.468943
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,84.074273
120,83.017204
120,79.995846
120,79.19248
120,78.783338
120,78.369163
120,77.525528
120,77.095976
120,75.77584
120,74.869065
120,72.016787
120,70.514323
120,70.514323
120,68.95952
120,68.95952
120,68.429443
120,66.249134
120,66.249134
120,65.688889
120,62.795146
120,62.197708
120,60.367609
120,58.480468
120,57.838684
120,57.190515
120,56.535958
120,55.20767
120,55.20767
120,54.533941
120,54.533941
120,53.167343
120,49.639842
120,49.639842
120,49.639842
120,46.705293
120,43.673511
120,42.122335
120,41.338186
120,41.338186
120,35.698456
120,34.872679
120,34.042298
120,33.207478
120,32.368393
120,32.368393
120,29.82748
120,26.392715
120,22.048733
120,19.432619
120,19.432619
120,19.432619
120,19.432619
120,19.432619
120,18.561771
120,15.962119
120,15.962119
120,14.249839
120,13.404659
120,11.751135
120,8.823559
120,8.295427
120,7.957788
120,8.468943
130,87.319471
130,87.319471
130,87.319471
130,87.319471
130,87.319471
130,87.319471
130,87.319471
130,87.319471
130,87.319471
