step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,36.485939
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,88.313387
20,45.534207
20,36.485939
20,32.253219
20,28.228468
20,20.860499
20,17.562607
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,152.453703
30,100.365569
30,88.313387
30,82.466883
30,76.748971
30,65.726366
30,60.435742
30,45.534207
30,36.485939
30,14.577225
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,244.814081
40,223.058769
40,166.217623
40,152.453703
40,145.664311
40,138.943447
40,125.728692
40,119.245886
40,100.365569
40,88.313387
40,55.301859
40,40.916005
40,40.916005
40,28.228468
40,28.228468
40,24.424888
40,11.991347
40,11.991347
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,317.523507
50,295.779216
50,237.548093
50,223.058769
50,215.84243
50,208.649856
50,194.351452
50,187.253695
50,166.217623
50,152.453703
50,112.853781
50,94.281796
50,94.281796
50,76.748971
50,76.748971
50,71.166477
50,50.332136
50,50.332136
50,45.534207
50,24.424888
50,20.860499
50,11.991347
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,388.604973
60,367.57169
60,310.289483
60,295.779216
60,288.50769
60,281.228552
60,266.65801
60,259.372166
60,237.548093
60,223.058769
60,180.195851
60,159.306472
60,159.306472
60,138.943447
60,138.943447
60,132.296419
60,106.558312
60,106.558312
60,100.365569
60,71.166477
60,65.726366
60,50.332136
60,36.485939
60,32.253219
60,28.228468
60,24.424888
60,17.562607
60,17.562607
60,14.577225
60,14.577225
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,456.299424
70,436.420961
70,381.626447
70,367.57169
70,360.498452
70,353.396762
70,339.114859
70,331.938268
70,310.289483
70,295.779216
70,252.089834
70,230.295177
70,230.295177
70,208.649856
70,208.649856
70,201.484875
70,173.182313
70,173.182313
70,166.217623
70,132.296419
70,125.728692
70,106.558312
70,88.313387
70,82.466883
70,76.748971
70,71.166477
70,60.435742
70,60.435742
70,55.301859
70,55.301859
70,45.534207
70,24.424888
70,24.424888
70,24.424888
70,11.991347
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,519.549454
80,501.081999
80,449.717059
80,436.420961
80,429.708959
80,422.955566
80,409.32868
80,402.457374
80,381.626447
80,367.57169
80,324.740475
80,303.040616
80,303.040616
80,281.228552
80,281.228552
80,273.944417
80,244.814081
80,244.814081
80,237.548093
80,201.484875
80,194.351452
80,173.182313
80,152.453703
80,145.664311
80,138.943447
80,132.296419
80,119.245886
80,119.245886
80,112.853781
80,112.853781
80,100.365569
80,71.166477
80,71.166477
80,71.166477
80,50.332136
80,32.253219
80,24.424888
80,20.860499
80,20.860499
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,577.80259
90,560.868675
90,513.443399
90,501.081999
90,494.827484
90,488.524377
90,475.774484
90,469.32885
90,449.717059
90,436.420961
90,395.549055
90,374.614867
90,374.614867
90,353.396762
90,353.396762
90,346.268307
90,317.523507
90,317.523507
90,310.289483
90,273.944417
90,266.65801
90,244.814081
90,223.058769
90,215.84243
90,208.649856
90,201.484875
90,187.253695
90,187.253695
90,180.195851
90,180.195851
90,166.217623
90,132.296419
90,132.296419
90,132.296419
90,106.558312
90,82.466883
90,71.166477
90,65.726366
90,65.726366
90,32.253219
90,28.228468
90,24.424888
90,20.860499
90,17.562607
90,17.562607
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,630.859938
100,615.489506
100,572.210007
100,560.868675
100,555.120133
100,549.319857
100,537.56481
100,531.610469
100,513.443399
100,501.081999
100,462.836934
100,443.090625
100,443.090625
100,422.955566
100,422.955566
100,416.161785
100,388.604973
100,388.604973
100,381.626447
100,346.268307
100,339.114859
100,317.523507
100,295.779216
100,288.50769
100,281.228552
100,273.944417
100,259.372166
