step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,30.532498
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,73.880768
20,37.96386
20,30.532498
20,27.065943
20,23.759843
20,17.565072
20,14.604819
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,129.337723
30,84.188931
30,73.880768
30,68.905113
30,64.056434
30,54.764247
30,50.332737
30,37.96386
30,30.532498
30,11.638629
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,210.861502
40,191.539294
40,141.390143
40,129.337723
40,123.408627
40,117.550732
40,106.068746
40,100.455096
40,84.188931
40,73.880768
40,46.05202
40,34.164869
40,34.164869
40,23.759843
40,23.759843
40,20.601328
40,8.522404
40,8.522404
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,275.818214
50,256.338835
50,204.401426
50,191.539294
50,185.143974
50,178.777177
50,166.143975
50,159.885302
50,141.390143
50,129.337723
50,94.933524
50,78.977365
50,78.977365
50,64.056434
50,64.056434
50,59.340797
50,41.927477
50,41.927477
50,37.96386
50,20.601328
50,17.565072
50,8.522404
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,339.751143
60,320.79639
60,269.333151
60,256.338835
60,249.834179
60,243.327748
60,230.319824
60,223.82372
60,204.401426
60,191.539294
60,153.670621
60,135.333142
60,135.333142
60,117.550732
60,117.550732
60,111.769054
60,89.509579
60,89.509579
60,84.188931
60,59.340797
60,54.764247
60,41.927477
60,30.532498
60,27.065943
60,23.759843
60,20.601328
60,14.604819
60,14.604819
60,11.638629
60,11.638629
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,400.931815
70,382.940493
70,333.459104
70,320.79639
70,314.428674
70,308.038812
70,295.199373
70,288.753353
70,269.333151
70,256.338835
70,217.336625
70,197.959587
70,197.959587
70,178.777177
70,178.777177
70,172.442577
70,147.504125
70,147.504125
70,141.390143
70,111.769054
70,106.068746
70,89.509579
70,73.880768
70,68.905113
70,64.056434
70,59.340797
70,50.332737
70,50.332737
70,46.05202
70,46.05202
70,37.96386
70,20.601328
70,20.601328
70,20.601328
70,8.522404
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,458.300321
80,441.532019
80,394.972139
80,382.940493
80,376.870275
80,370.76505
80,358.45367
80,352.249705
80,333.459104
80,320.79639
80,282.292305
80,262.839274
80,262.839274
80,243.327748
80,243.327748
80,236.822082
80,210.861502
80,210.861502
80,204.401426
80,172.442577
80,166.143975
80,147.504125
80,129.337723
80,123.408627
80,117.550732
80,111.769054
80,100.455096
80,100.455096
80,94.933524
80,94.933524
80,84.188931
80,59.340797
80,59.340797
80,59.340797
80,41.927477
80,27.065943
80,20.601328
80,17.565072
80,17.565072
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,511.280874
90,495.866752
90,452.754511
90,441.532019
90,435.856227
