step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.358747
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.263027
20,0.331114
20,0.358747
20,0.376387
20,0.398514
20,0.472268
20,0.544874
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.217384
30,0.251537
30,0.263027
30,0.269382
30,0.276202
30,0.29147
30,0.300063
30,0.331114
30,0.358747
30,0.68209
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.184731
40,0.190663
40,0.210959
40,0.217384
40,0.220857
40,0.224522
40,0.23249
40,0.23683
40,0.251537
40,0.263027
40,0.309429
40,0.343954
40,0.343954
40,0.398514
40,0.398514
40,0.428301
40,0.993727
40,0.993727
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.169334
50,0.173366
50,0.186626
50,0.190663
50,0.192815
50,0.195062
50,0.199872
50,0.202448
50,0.210959
50,0.217384
50,0.241435
50,0.257092
50,0.257092
50,0.276202
50,0.276202
50,0.283543
50,0.319711
50,0.319711
50,0.331114
50,0.428301
50,0.472268
50,0.993727
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.15851
60,0.161396
60,0.17063
60,0.173366
60,0.17481
60,0.176309
60,0.179482
60,0.181162
60,0.186626
60,0.190663
60,0.205148
60,0.214089
60,0.214089
60,0.224522
60,0.224522
60,0.228394
60,0.246328
60,0.246328
60,0.251537
60,0.283543
60,0.29147
60,0.319711
60,0.358747
60,0.376387
60,0.398514
60,0.428301
60,0.544874
60,0.544874
60,0.68209
60,0.68209
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.150568
70,0.152714
70,0.159442
70,0.161396
70,0.162421
70,0.163479
70,0.165703
70,0.166872
70,0.17063
70,0.173366
70,0.182911
70,0.188602
70,0.188602
70,0.195062
70,0.195062
70,0.197412
70,0.207982
70,0.207982
70,0.210959
70,0.228394
70,0.23249
70,0.246328
70,0.263027
70,0.269382
70,0.276202
70,0.283543
70,0.300063
70,0.300063
70,0.309429
70,0.309429
70,0.331114
70,0.428301
70,0.428301
70,0.428301
70,0.993727
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.144554
80,0.146195
80,0.151264
80,0.152714
80,0.153471
80,0.15425
80,0.155878
80,0.156729
80,0.159442
80,0.161396
80,0.168082
80,0.171973
80,0.171973
80,0.176309
80,0.176309
80,0.177865
80,0.184731
80,0.184731
80,0.186626
80,0.197412
80,0.199872
80,0.207982
80,0.217384
80,0.220857
80,0.224522
80,0.228394
80,0.23683
80,0.23683
80,0.241435
80,0.241435
80,0.251537
80,0.283543
80,0.283543
80,0.283543
80,0.319711
80,0.376387
80,0.428301
80,0.472268
80,0.472268
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.139887
90,0.141171
90,0.145087
90,0.146195
90,0.146771
90,0.147363
90,0.148593
90,0.149234
90,0.151264
90,0.152714
90,0.157606
90,0.160404
90,0.160404
90,0.163479
90,0.163479
90,0.164573
90,0.169334
90,0.169334
90,0.17063
90,0.177865
90,0.179482
90,0.184731
90,0.190663
90,0.192815
90,0.195062
90,0.197412
90,0.202448
90,0.202448
90,0.205148
90,0.205148
90,0.210959
90,0.228394
90,0.228394
90,0.228394
90,0.246328
90,0.269382
90,0.283543
90,0.29147
90,0.29147
90,0.376387
90,0.398514
90,0.428301
90,0.472268
90,0.544874
90,0.544874
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.136197
100,0.137218
100,0.140305
100,0.141171
100,0.141619
100,0.142079
100,0.143032
