step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.090488
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.058171
20,0.081149
20,0.090488
20,0.096108
20,0.102577
20,0.119301
20,0.130834
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.043965
30,0.054493
30,0.058171
30,0.060234
30,0.062472
30,0.067565
30,0.070477
30,0.081149
30,0.090488
30,0.146561
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.034433
40,0.036128
40,0.042049
40,0.043965
40,0.045009
40,0.046117
40,0.048549
40,0.049887
40,0.054493
40,0.058171
40,0.073679
40,0.085542
40,0.085542
40,0.102577
40,0.102577
40,0.11016
40,0.171273
40,0.171273
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.030106
50,0.031229
50,0.034973
50,0.036128
50,0.036746
50,0.037395
50,0.038791
50,0.039543
50,0.042049
50,0.043965
50,0.051317
50,0.056262
50,0.056262
50,0.062472
50,0.062472
50,0.064907
50,0.077218
50,0.077218
50,0.081149
50,0.11016
50,0.119301
50,0.171273
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027126
60,0.027916
60,0.030467
60,0.031229
60,0.031633
60,0.032053
60,0.032946
60,0.033421
60,0.034973
60,0.036128
60,0.040334
60,0.04298
60,0.04298
60,0.046117
60,0.046117
60,0.047294
60,0.052849
60,0.052849
60,0.054493
60,0.064907
60,0.067565
60,0.077218
60,0.090488
60,0.096108
60,0.102577
60,0.11016
60,0.130834
60,0.130834
60,0.146561
60,0.146561
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.024971
70,0.025551
70,0.027381
70,0.027916
70,0.028197
70,0.028488
70,0.029101
70,0.029424
70,0.030467
70,0.031229
70,0.033916
70,0.035537
70,0.035537
70,0.037395
70,0.037395
70,0.038076
70,0.041169
70,0.041169
70,0.042049
70,0.047294
70,0.048549
70,0.052849
70,0.058171
70,0.060234
70,0.062472
70,0.064907
70,0.070477
70,0.070477
70,0.073679
70,0.073679
70,0.081149
70,0.11016
70,0.11016
70,0.11016
70,0.171273
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023356
80,0.023795
80,0.025159
80,0.025551
80,0.025756
80,0.025967
80,0.026409
80,0.026641
80,0.027381
80,0.027916
80,0.029759
80,0.030841
80,0.030841
80,0.032053
80,0.032053
80,0.032491
80,0.034433
80,0.034433
80,0.034973
80,0.038076
80,0.038791
80,0.041169
80,0.043965
80,0.045009
80,0.046117
80,0.047294
80,0.049887
80,0.049887
80,0.051317
80,0.051317
80,0.054493
80,0.064907
80,0.064907
80,0.064907
80,0.077218
80,0.096108
80,0.11016
80,0.119301
80,0.119301
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022113
90,0.022454
90,0.023498
90,0.023795
90,0.02395
90,0.024108
90,0.024439
90,0.024611
90,0.025159
90,0.025551
90,0.02688
90,0.027644
90,0.027644
90,0.028488
90,0.028488
90,0.028789
90,0.030106
90,0.030106
90,0.030467
90,0.032491
90,0.032946
90,0.034433
90,0.036128
90,0.036746
90,0.037395
90,0.038076
90,0.039543
90,0.039543
90,0.040334
90,0.040334
90,0.042049
90,0.047294
90,0.047294
90,0.047294
90,0.052849
90,0.060234
90,0.064907
90,0.067565
90,0.067565
90,0.096108
90,0.102577
90,0.11016
90,0.119301
90,0.130834
90,0.130834
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021136
100,0.021405
100,0.022224
100,0.022454
100,0.022573
100,0.022695
100,0.02295
100,0.023081
100,0.023498
100,0.023795
100,0.024789
100,0.025352
100,0.025352
100,0.025967
100,0.025967
100,0.026185
100,0.027126
100,0.027126
100,0.027381
100,0.028789
100,0.029101
100,0.030106
