# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.3495,128.0249,87.3246,0.0,0.798412,0.68209,0.0,0.0,0,0.0
2,11,0,0,193.1887,160.653,87.5357,0.0,0.831586,0.544874,0.0,0.0,0,0.0
3,12,0,0,241.4568,201.7382,99.7186,0.0,0.835504,0.494297,0.0,0.0,0,0.0
4,12,0,0,283.251,238.2532,104.9977,0.0,0.841138,0.440698,0.0,0.0,0,0.0
5,12,0,0,328.0758,275.9631,112.1127,0.0,0.841157,0.40626,0.0,0.0,0,0.0
6,12,0,0,375.6459,315.2904,120.3555,0.0,0.839329,0.381729,0.0,0.0,0,0.0
7,12,0,0,425.7702,356.4588,129.3114,0.0,0.837209,0.362767,0.0,0.0,0,0.0
8,12,0,0,478.3045,399.5734,138.7311,0.0,0.835395,0.347198,0.0,0.0,0,0.0
9,12,0,0,533.1295,444.6684,148.4611,0.0,0.834072,0.333869,0.0,0.0,0,0.0
10,12,0,0,590.1394,491.7347,158.4047,0.0,0.833252,0.322134,0.0,0.0,0,0.0
11,13,0,0,661.2278,549.2595,176.9683,0.0,0.830666,0.322194,0.0,0.0,0,0.0
12,13,0,0,724.9046,603.2626,186.642,0.0,0.832196,0.309388,0.0,0.0,0,0.0
13,14,0,0,802.8761,667.4614,205.4147,0.0,0.831338,0.307755,0.0,0.0,0,0.0
14,15,0,0,885.5622,736.5269,224.0353,0.0,0.831705,0.304178,0.0,0.0,0,0.0
15,16,0,0,973.2305,810.3207,242.9098,0.0,0.832609,0.29977,0.0,0.0,0,0.0
16,16,0,0,1054.0909,880.2888,253.802,0.0,0.835117,0.288317,0.0,0.0,0,0.0
17,17,0,0,1149.7063,960.3888,274.3175,0.0,0.835334,0.285632,0.0,0.0,0,0.0
18,18,0,0,1250.4171,1045.4272,294.9899,0.0,0.836063,0.282172,0.0,0.0,0,0.0
19,18,0,0,1344.4506,1126.8188,307.6318,0.0,0.838126,0.273009,0.0,0.0,0,0.0
20,18,0,0,1441.3798,1209.9782,321.4016,0.0,0.839458,0.265626,0.0,0.0,0,0.0
21,19,0,0,1552.9374,1303.6257,344.3117,0.0,0.839458,0.264119,0.0,0.0,0,0.0
22,19,0,0,1657.5389,1393.908,358.6309,0.0,0.84095,0.257284,0.0,0.0,0,0.0
23,20,0,0,1776.8276,1494.6077,382.2199,0.0,0.841166,0.255733,0.0,0.0,0,0.0
24,20,0,0,1889.1858,1591.9029,397.283,0.0,0.84264,0.249565,0.0,0.0,0,0.0
25,20,0,0,2004.2495,1691.0697,413.1798,0.0,0.843742,0.24433,0.0,0.0,0,0.0
26,20,0,0,2121.7882,1792.2227,429.5655,0.0,0.844676,0.239683,0.0,0.0,0,0.0
27,20,0,0,2241.6271,1895.3855,446.2416,0.0,0.84554,0.235436,0.0,0.0,0,0.0
28,20,0,0,2363.6182,2000.5294,463.0889,0.0,0.846384,0.231483,0.0,0.0,0,0.0
29,21,0,0,2499.6205,2116.1179,488.5026,0.0,0.846576,0.230848,0.0,0.0,0,0.0
30,21,0,0,2628.1134,2228.1463,504.9671,0.0,0.847812,0.226631,0.0,0.0,0,0.0
31,21,0,0,2758.7848,2341.785,521.9998,0.0,0.848847,0.222907,0.0,0.0,0,0.0
32,23,0,0,2915.4175,2474.132,556.2855,0.0,0.848637,0.224841,0.0,0.0,0,0.0
33,23,0,0,3055.0629,2597.3192,572.7438,0.0,0.850169,0.220513,0.0,0.0,0,0.0
34,23,0,0,3197.198,2721.8114,590.3866,0.0,0.851311,0.216909,0.0,0.0,0,0.0
35,25,0,0,3365.5108,2864.8741,625.6368,0.0,0.851245,0.218382,0.0,0.0,0,0.0
36,26,0,0,3528.9942,3007.2576,651.7366,0.0,0.852157,0.216721,0.0,0.0,0,0.0
37,26,0,0,3685.6993,3145.5536,670.1457,0.0,0.853448,0.213045,0.0,0.0,0,0.0
38,26,0,0,3845.1178,3285.2699,689.8479,0.0,0.8544,0.209982,0.0,0.0,0,0.0
39,26,0,0,4006.9447,3426.6525,710.2922,0.0,0.855178,0.207285,0.0,0.0,0,0.0
40,28,0,0,4194.9447,3586.8442,748.1005,0.0,0.85504,0.208568,0.0,0.0,0,0.0
41,29,0,0,4378.1402,3746.5227,776.6176,0.0,0.855734,0.20729,0.0,0.0,0,0.0
42,29,0,0,4554.593,3902.2346,797.3583,0.0,0.856769,0.204334,0.0,0.0,0,0.0
43,29,0,0,4733.796,4059.4583,819.3377,0.0,0.857548,0.201834,0.0,0.0,0,0.0
44,29,0,0,4915.4413,4218.4192,842.0221,0.0,0.858197,0.199606,0.0,0.0,0,0.0
45,29,0,0,5099.3054,4379.2,865.1053,0.0,0.858784,0.197549,0.0,0.0,0,0.0
46,30,0,0,5297.1981,4550.3236,896.8745,0.0,0.859006,0.197101,0.0,0.0,0,0.0
47,31,0,0,5499.5557,4726.3367,928.2189,0.0,0.859403,0.196393,0.0,0.0,0,0.0
48,31,0,0,5694.6412,4898.4921,951.1491,0.0,0.860193,0.194172,0.0,0.0,0,0.0
49,31,0,0,5892.0366,5072.0993,974.9373,0.0,0.86084,0.192216,0.0,0.0,0,0.0
50,32,0,0,6103.4704,5255.8077,1007.6627,0.0,0.861118,0.191724,0.0,0.0,0,0.0
51,32,0,0,6307.3476,5435.7137,1031.6339,0.0,0.861807,0.189788,0.0,0.0,0,0.0
52,32,0,0,6513.3071,5617.0401,1056.267,0.0,0.862394,0.188047,0.0,0.0,0,0.0
53,33,0,0,6733.1052,5808.3869,1089.7183,0.0,0.862661,0.187611,0.0,0.0,0,0.0
54,34,0,0,6957.1533,6004.3444,1122.8089,0.0,0.863046,0.186999,0.0,0.0,0,0.0
55,35,0,0,7185.6938,6204.7133,1155.9806,0.0,0.863481,0.186307,0.0,0.0,0,0.0
56,36,0,0,7418.8974,6409.4122,1189.4852,0.0,0.863931,0.185584,0.0,0.0,0,0.0
57,36,0,0,7644.9064,6609.9048,1215.0015,0.0,0.864616,0.183815,0.0,0.0,0,0.0
58,38,0,0,7897.2223,6828.667,1258.5553,0.0,0.864692,0.184305,0.0,0.0,0,0.0
59,40,0,0,8156.735,7055.0828,1301.6522,0.0,0.86494,0.184499,0.0,0.0,0,0.0
60,40,0,0,8400.0398,7271.8717,1328.1681,0.0,0.865695,0.182645,0.0,0.0,0,0.0
61,41,0,0,8658.3826,7498.3449,1365.0377,0.0,0.866021,0.182045,0.0,0.0,0,0.0
62,41,0,0,8909.9406,7720.9702,1393.9704,0.0,0.866557,0.180543,0.0,0.0,0,0.0
63,41,0,0,9164.2255,7945.1791,1424.0465,0.0,0.866978,0.179234,0.0,0.0,0,0.0
64,41,0,0,9420.922,8171.1636,1454.7584,0.0,0.867342,0.178036,0.0,0.0,0,0.0
65,41,0,0,9679.7899,8398.9794,1485.8106,0.0,0.867682,0.176904,0.0,0.0,0,0.0
66,44,0,0,9976.6021,8654.1702,1542.4319,0.0,0.867447,0.17823,0.0,0.0,0,0.0
67,44,0,0,10246.9884,8894.8809,1572.1075,0.0,0.868048,0.176743,0.0,0.0,0,0.0
68,44,0,0,10520.1975,9136.7839,1603.4136,0.0,0.868499,0.17549,0.0,0.0,0,0.0
69,44,0,0,10795.8109,9380.2003,1635.6106,0.0,0.868874,0.174368,0.0,0.0,0,0.0
70,45,0,0,11085.5314,9633.7795,1676.7519,0.0,0.869041,0.174049,0.0,0.0,0,0.0
71,45,0,0,11367.7349,9883.609,1709.1259,0.0,0.869444,0.172925,0.0,0.0,0,0.0
72,45,0,0,11652.032,10134.8974,1742.1346,0.0,0.869797,0.171895,0.0,0.0,0,0.0
73,45,0,0,11938.1599,10387.7043,1775.4557,0.0,0.870126,0.170919,0.0,0.0,0,0.0
74,46,0,0,12237.9005,10650.529,1817.3715,0.0,0.870291,0.170637,0.0,0.0,0,0.0
75,46,0,0,12529.6743,10909.3728,1850.3015,0.0,0.870683,0.169607,0.0,0.0,0,0.0
76,47,0,0,12835.1108,11177.9175,1892.1933,0.0,0.870886,0.16928,0.0,0.0,0,0.0
77,49,0,0,13156.5522,11459.3122,1942.24,0.0,0.870997,0.16949,0.0,0.0,0,0.0
78,49,0,0,13460.8147,11730.9191,1974.8956,0.0,0.871487,0.16835,0.0,0.0,0,0.0
79,49,0,0,13767.2508,12003.3192,2008.9316,0.0,0.871875,0.167365,0.0,0.0,0,0.0
80,49,0,0,14075.4843,12276.7855,2043.6988,0.0,0.872211,0.166469,0.0,0.0,0,0.0
81,49,0,0,14385.2494,12551.4197,2078.8297,0.0,0.87252,0.165625,0.0,0.0,0,0.0
82,49,0,0,14696.3338,12827.2257,2114.1081,0.0,0.872818,0.164814,0.0,0.0,0,0.0
83,49,0,0,15008.5546,13104.1512,2149.4033,0.0,0.873112,0.164025,0.0,0.0,0,0.0
84,50,0,0,15333.7372,13390.6342,2193.103,0.0,0.873279,0.163779,0.0,0.0,0,0.0
85,51,0,0,15662.3216,13681.1659,2236.1557,0.0,0.873508,0.163448,0.0,0.0,0,0.0
86,52,0,0,15994.5606,13975.4841,2279.0765,0.0,0.873765,0.163077,0.0,0.0,0,0.0
