# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,40.9779,3.1494,30.5325,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275
10,actif_liquide,12,13.2004,0.6775,10.9534,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047
10,actif_total,12,49.1783,3.8269,36.4859,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321
10,ratio_L_P,12,0.323,0.0108,0.3197,0.3197,0.3197,0.3197,0.3197,0.3197,0.3545,0.3587
10,taux_interne,12,0.0783,0.0037,0.0772,0.0772,0.0772,0.0772,0.0772,0.0772,0.089,0.0905
10,levier_entite,12,0.8333,0.0011,0.833,0.833,0.833,0.833,0.833,0.833,0.8364,0.8368
20,passif_total,18,67.221,30.2273,14.6048,21.9014,32.3903,89.5096,89.5096,89.5096,89.5096,89.5096
20,actif_liquide,18,17.8556,5.7251,7.9578,9.1167,11.3577,22.0487,22.0487,22.0487,22.0487,22.0487
20,actif_total,18,80.0767,35.9514,17.5626,26.0181,38.748,106.5583,106.5583,106.5583,106.5583,106.5583
20,ratio_L_P,18,0.303,0.089,0.2463,0.2463,0.2463,0.2463,0.3518,0.4206,0.5325,0.5449
20,taux_interne,18,0.07,0.0256,0.0528,0.0528,0.0528,0.0528,0.0882,0.1076,0.1289,0.1308
20,levier_entite,18,0.839,0.0026,0.8316,0.8357,0.8394,0.84,0.84,0.8405,0.842,0.842
30,passif_total,21,106.1022,48.3479,11.6386,37.9639,64.0564,147.5041,147.5041,147.5041,147.5041,147.5041
30,actif_liquide,21,24.0461,7.8929,7.9386,12.5703,17.6925,30.6782,30.6782,30.6782,30.6782,30.6782
30,actif_total,21,125.1483,56.2328,14.5772,45.5342,76.749,173.1823,173.1823,173.1823,173.1823,173.1823
30,ratio_L_P,21,0.2633,0.104,0.208,0.208,0.208,0.208,0.2762,0.3311,0.6174,0.6821
30,taux_interne,21,0.0566,0.0249,0.0412,0.0412,0.0412,0.0412,0.0625,0.0811,0.1353,0.1466
30,levier_entite,21,0.8428,0.0127,0.7984,0.8332,0.8355,0.8517,0.8517,0.8517,0.8517,0.8517
40,passif_total,28,128.1016,78.4002,8.5224,22.8123,43.0802,126.3732,210.8615,210.8615,210.8615,210.8615
40,actif_liquide,28,26.7179,12.006,8.4689,9.2751,13.6252,27.6858,38.9526,38.9526,38.9526,38.9526
40,actif_total,28,149.8195,90.3806,11.9913,27.0874,51.7054,149.059,244.8141,244.8141,244.8141,244.8141
40,ratio_L_P,28,0.2961,0.2069,0.1847,0.1847,0.1847,0.2191,0.3181,0.4074,0.9937,0.9937
40,taux_interne,28,0.0609,0.0385,0.0344,0.0344,0.0344,0.0445,0.0766,0.1049,0.1713,0.1713
40,levier_entite,28,0.8406,0.0374,0.7107,0.8343,0.841,0.8478,0.8613,0.8613,0.8613,0.8613
50,passif_total,32,164.244,98.881,8.5224,38.3602,64.0564,172.4606,275.8182,275.8182,275.8182,275.8182
50,actif_liquide,32,31.4895,14.0803,8.2954,12.6538,17.6925,34.0401,46.7053,46.7053,46.7053,46.7053
50,actif_total,32,190.7335,112.9258,11.9913,46.014,76.749,201.5007,317.5235,317.5235,317.5235,317.5235
50,ratio_L_P,32,0.2528,0.1533,0.1693,0.1693,0.1693,0.1975,0.2762,0.33,0.8321,0.9937
50,taux_interne,32,0.0519,0.0316,0.0301,0.0301,0.0301,0.0381,0.0625,0.0808,0.1552,0.1713
50,levier_entite,32,0.8493,0.0284,0.7107,0.8338,0.8377,0.8558,0.8687,0.8687,0.8687,0.8687
60,passif_total,40,181.7968,125.2246,11.6386,20.0017,58.1967,172.605,339.7511,339.7511,339.7511,339.7511
60,actif_liquide,40,33.2042,17.2909,7.9386,8.737,16.6098,34.0224,53.8538,53.8538,53.8538,53.8538
60,actif_total,40,210.001,142.456,14.5772,23.7387,69.8064,201.6273,388.605,388.605,388.605,388.605
60,ratio_L_P,40,0.2576,0.1397,0.1585,0.1585,0.1585,0.1979,0.2855,0.44,0.6821,0.6821
60,taux_interne,40,0.0545,0.0358,0.0271,0.0271,0.0271,0.0382,0.0656,0.1122,0.1466,0.1466
60,levier_entite,40,0.8533,0.0199,0.7984,0.8329,0.8398,0.8557,0.8743,0.8743,0.8743,0.8743
