step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,38.7464,0,0.0,0.0,0,0,131.9048,93.7464,93.1584,8.5224,0.171273
1,11,11,0,32.1125,0.0,0,35.4409,0,0.0,0.0,0,0,160.3495,128.0249,87.3246,11.6386,0.146561
2,11,11,0,37.527,0.0,0,34.8188,0,0.0,0.0,0,0,193.1887,160.653,87.5357,14.6048,0.130834
3,12,12,1,44.2739,0.0,0,39.2548,0,0.0,0.0,0,0,241.4568,201.7382,99.7186,16.8115,0.123632
4,12,12,0,49.0211,0.0,0,40.7672,0,0.0,0.0,0,0,283.251,238.2532,104.9977,19.8544,0.113193
5,12,12,0,53.3391,0.0,0,43.0574,0,0.0,0.0,0,0,328.0758,275.9631,112.1127,22.9969,0.104931
6,12,12,0,57.4401,0.0,0,45.8062,0,0.0,0.0,0,0,375.6459,315.2904,120.3555,26.2742,0.098041
7,12,12,0,61.4185,0.0,0,48.8271,0,0.0,0.0,0,0,425.7702,356.4588,129.3114,29.7049,0.092127
8,12,12,0,65.3207,0.0,0,52.0084,0,0.0,0.0,0,0,478.3045,399.5734,138.7311,33.2978,0.086962
9,12,12,0,69.1702,0.0,0,55.2822,0,0.0,0.0,0,0,533.1295,444.6684,148.4611,37.0557,0.082396
10,12,12,0,72.9788,0.0,0,58.6064,0,0.0,0.0,0,0,590.1394,491.7347,158.4047,40.9779,0.078324
11,13,13,1,78.9883,0.0,0,65.4768,0,0.0,0.0,0,0,661.2278,549.2595,176.9683,42.2507,0.082099
12,13,13,0,83.4122,0.0,0,68.5309,0,0.0,0.0,0,0,724.9046,603.2626,186.642,46.4048,0.07715
13,14,14,1,89.8492,0.0,0,75.3467,0,0.0,0.0,0,0,802.8761,667.4614,205.4147,47.6758,0.080181
14,15,15,1,96.8553,0.0,0,81.9893,0,0.0,0.0,0,0,885.5622,736.5269,224.0353,49.1018,0.081653
15,16,16,1,104.2804,0.0,0,88.6396,0,0.0,0.0,0,0,973.2305,810.3207,242.9098,50.645,0.082281
16,16,16,0,109.8247,0.0,0,91.8778,0,0.0,0.0,0,0,1054.0909,880.2888,253.802,55.0181,0.076839
17,17,17,1,117.245,0.0,0,99.1086,0,0.0,0.0,0,0,1149.7063,960.3888,274.3175,56.4935,0.07838
18,18,18,1,125.1621,0.0,0,106.3001,0,0.0,0.0,0,0,1250.4171,1045.4272,294.9899,58.0793,0.078984
19,18,18,0,131.2205,0.0,0,110.0544,0,0.0,0.0,0,0,1344.4506,1126.8188,307.6318,62.601,0.073969
20,18,18,0,136.9249,0.0,0,114.2639,0,0.0,0.0,0,0,1441.3798,1209.9782,321.4016,67.221,0.069998
21,19,19,1,144.6786,0.0,0,122.2469,0,0.0,0.0,0,0,1552.9374,1303.6257,344.3117,68.6119,0.072149
22,19,19,0,150.7617,0.0,0,126.5411,0,0.0,0.0,0,0,1657.5389,1393.908,358.6309,73.3636,0.068074
23,20,20,1,158.8047,0.0,0,134.6669,0,0.0,0.0,0,0,1776.8276,1494.6077,382.2199,74.7304,0.070103
24,20,20,0,165.1437,0.0,0,139.1334,0,0.0,0.0,0,0,1889.1858,1591.9029,397.283,79.5951,0.066181
25,20,20,0,171.1902,0.0,0,143.9239,0,0.0,0.0,0,0,2004.2495,1691.0697,413.1798,84.5535,0.063024
26,20,20,0,177.076,0.0,0,148.8851,0,0.0,0.0,0,0,2121.7882,1792.2227,429.5655,89.6111,0.06032
27,20,20,0,182.8539,0.0,0,153.9295,0,0.0,0.0,0,0,2241.6271,1895.3855,446.2416,94.7693,0.057936
28,20,20,0,188.5485,0.0,0,159.0054,0,0.0,0.0,0,0,2363.6182,2000.5294,463.0889,100.0265,0.055799
29,21,21,1,196.408,0.0,0,167.6044,0,0.0,0.0,0,0,2499.6205,2116.1179,488.5026,100.7675,0.059453
30,21,21,0,202.6495,0.0,0,172.362,0,0.0,0.0,0,0,2628.1134,2228.1463,504.9671,106.1022,0.056592
31,21,21,0,208.6379,0.0,0,177.3331,0,0.0,0.0,0,0,2758.7848,2341.785,521.9998,111.5136,0.054297
32,23,23,2,218.9554,0.0,0,189.4506,0,0.0,0.0,0,0,2915.4175,2474.132,556.2855,107.571,0.062666
33,23,23,0,226.0664,0.0,0,193.9611,0,0.0,0.0,0,0,3055.0629,2597.3192,572.7438,112.9269,0.058915
34,23,23,0,232.7138,0.0,0,198.9618,0,0.0,0.0,0,0,3197.198,2721.8114,590.3866,118.3396,0.056099
35,25,25,2,243.5968,0.0,0,211.267,0,0.0,0.0,0,0,3365.5108,2864.8741,625.6368,114.595,0.063172
36,26,26,1,253.4616,0.0,0,219.5797,0,0.0,0.0,0,0,3528.9942,3007.2576,651.7366,115.6638,0.063649
37,26,26,0,261.2832,0.0,0,224.6137,0,0.0,0.0,0,0,3685.6993,3145.5536,670.1457,120.9828,0.059909
38,26,26,0,268.6613,0.0,0,230.1829,0,0.0,0.0,0,0,3845.1178,3285.2699,689.8479,126.3565,0.056994
39,26,26,0,275.798,0.0,0,236.0407,0,0.0,0.0,0,0,4006.9447,3426.6525,710.2922,131.7943,0.054552
40,28,28,2,287.2504,0.0,0,249.0912,0,0.0,0.0,0,0,4194.9447,3586.8442,748.1005,128.1016,0.06092
41,29,29,1,297.7172,0.0,0,258.0838,0,0.0,0.0,0,0,4378.1402,3746.5227,776.6176,129.1904,0.061333
42,29,29,0,306.1538,0.0,0,263.7576,0,0.0,0.0,0,0,4554.593,3902.2346,797.3583,134.5598,0.057878
43,29,29,0,314.1503,0.0,0,269.9408,0,0.0,0.0,0,0,4733.796,4059.4583,819.3377,139.9813,0.055163
44,29,29,0,321.9039,0.0,0,276.3946,0,0.0,0.0,0,0,4915.4413,4218.4192,842.0221,145.4627,0.052875
45,29,29,0,329.497,0.0,0,282.9834,0,0.0,0.0,0,0,5099.3054,4379.2,865.1053,151.0069,0.05088
46,30,30,1,339.205,0.0,0,293.1496,0,0.0,0.0,0,0,5297.1981,4550.3236,896.8745,151.6775,0.053177
47,31,31,1,349.4946,0.0,0,303.0228,0,0.0,0.0,0,0,5499.5557,4726.3367,928.2189,152.4625,0.054692
48,31,31,0,357.949,0.0,0,309.2954,0,0.0,0.0,0,0,5694.6412,4898.4921,951.1491,158.0159,0.052026
49,31,31,0,366.044,0.0,0,315.912,0,0.0,0.0,0,0,5892.0366,5072.0993,974.9373,163.6161,0.049901
50,32,32,1,376.1689,0.0,0,326.2214,0,0.0,0.0,0,0,6103.4704,5255.8077,1007.6627,164.244,0.051938
51,32,32,0,384.5966,0.0,0,332.7802,0,0.0,0.0,0,0,6307.3476,5435.7137,1031.6339,169.8661,0.049617
52,32,32,0,392.718,0.0,0,339.5978,0,0.0,0.0,0,0,6513.3071,5617.0401,1056.267,175.5325,0.047735
53,33,33,1,402.8925,0.0,0,350.0579,0,0.0,0.0,0,0,6733.1052,5808.3869,1089.7183,176.0117,0.049904
54,34,34,1,413.6164,0.0,0,360.2591,0,0.0,0.0,0,0,6957.1533,6004.3444,1122.8089,176.5984,0.05139
55,35,35,1,424.7215,0.0,0,370.3992,0,0.0,0.0,0,0,7185.6938,6204.7133,1155.9806,177.2775,0.052469
56,36,36,1,436.1373,0.0,0,380.5903,0,0.0,0.0,0,0,7418.8974,6409.4122,1189.4852,178.0392,0.05327
57,36,36,0,445.593,0.0,0,387.375,0,0.0,0.0,0,0,7644.9064,6609.9048,1215.0015,183.6085,0.050603
58,38,38,2,459.095,0.0,0,401.6593,0,0.0,0.0,0,0,7897.2223,6828.667,1258.5553,179.7018,0.054948
59,40,40,2,473.7182,0.0,0,415.5758,0,0.0,0.0,0,0,8156.735,7055.0828,1301.6522,176.3771,0.057913
60,40,40,0,484.6841,0.0,0,422.4414,0,0.0,0.0,0,0,8400.0398,7271.8717,1328.1681,181.7968,0.054475
61,41,41,1,497.2064,0.0,0,433.6294,0,0.0,0.0,0,0,8658.3826,7498.3449,1365.0377,182.8865,0.054759
62,41,41,0,507.8154,0.0,0,441.4256,0,0.0,0.0,0,0,8909.9406,7720.9702,1393.9704,188.3163,0.052031
63,41,41,0,518.0036,0.0,0,449.688,0,0.0,0.0,0,0,9164.2255,7945.1791,1424.0465,193.7849,0.049813
64,41,41,0,527.9416,0.0,0,458.1899,0,0.0,0.0,0,0,9420.922,8171.1636,1454.7584,199.2967,0.047911
65,41,41,0,537.7021,0.0,0,466.8007,0,0.0,0.0,0,0,9679.7899,8398.9794,1485.8106,204.8532,0.046236
66,44,44,3,554.0283,0.0,0,486.0102,0,0.0,0.0,0,0,9976.6021,8654.1702,1542.4319,196.6857,0.053364
67,44,44,0,565.5715,0.0,0,493.7358,0,0.0,0.0,0,0,10246.9884,8894.8809,1572.1075,202.1564,0.050415
68,44,44,0,576.4261,0.0,0,502.1494,0,0.0,0.0,0,0,10520.1975,9136.7839,1603.4136,207.6542,0.048191
69,44,44,0,586.9237,0.0,0,510.92,0,0.0,0.0,0,0,10795.8109,9380.2003,1635.6106,213.1864,0.046349
70,45,45,1,599.4272,0.0,0,523.3852,0,0.0,0.0,0,0,11085.5314,9633.7795,1676.7519,214.084,0.047564
71,45,45,0,610.2061,0.0,0,532.0929,0,0.0,0.0,0,0,11367.7349,9883.609,1709.1259,219.6358,0.045629
72,45,45,0,620.6509,0.0,0,541.0466,0,0.0,0.0,0,0,11652.032,10134.8974,1742.1346,225.2199,0.044031
