# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,301,0,0,3609.3953,2565.2436,2549.1517,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,301,0,0,4387.7447,3503.2273,2389.5174,0.0,0.798412,0.68209,0.0,0.0,0,0.0
2,301,0,0,5286.3447,4396.0505,2395.2941,0.0,0.831586,0.544874,0.0,0.0,0,0.0
3,302,0,0,6291.0016,5295.609,2505.3926,0.0,0.841775,0.473108,0.0,0.0,0,0.0
4,303,0,0,7378.4597,6221.1608,2672.2989,0.0,0.843152,0.42955,0.0,0.0,0,0.0
5,303,0,0,8528.9086,7177.9561,2865.9525,0.0,0.841603,0.399271,0.0,0.0,0,0.0
6,303,0,0,9746.6419,8179.0188,3082.6232,0.0,0.839163,0.376894,0.0,0.0,0,0.0
7,303,0,0,11027.553,9228.4482,3314.1048,0.0,0.836854,0.359118,0.0,0.0,0,0.0
8,303,0,0,12368.3708,10327.9869,3555.3839,0.0,0.835032,0.344248,0.0,0.0,0,0.0
9,303,0,0,13766.2779,11477.9475,3803.3304,0.0,0.833773,0.33136,0.0,0.0,0,0.0
10,303,0,0,15218.7122,12677.7691,4055.9431,0.0,0.833038,0.319926,0.0,0.0,0,0.0
11,304,0,0,16735.2528,13934.8778,4320.375,0.0,0.832666,0.31004,0.0,0.0,0,0.0
12,304,0,0,18292.1858,15233.9213,4578.2645,0.0,0.83281,0.300531,0.0,0.0,0,0.0
13,304,0,0,19897.065,16578.5345,4838.5305,0.0,0.833215,0.291855,0.0,0.0,0,0.0
14,305,0,0,21559.5954,17975.6469,5108.9486,0.0,0.833766,0.284215,0.0,0.0,0,0.0
15,306,0,0,23268.1715,19418.1338,5380.0377,0.0,0.834536,0.277063,0.0,0.0,0,0.0
16,306,0,0,25009.0623,20895.5392,5643.5232,0.0,0.835519,0.270083,0.0,0.0,0,0.0
17,306,0,0,26789.8986,22411.4521,5908.4465,0.0,0.836564,0.263635,0.0,0.0,0,0.0
18,307,0,0,28620.4987,23972.8054,6182.6932,0.0,0.83761,0.257904,0.0,0.0,0,0.0
19,307,0,0,30477.3987,25563.9944,6448.4042,0.0,0.838785,0.252246,0.0,0.0,0,0.0
20,307,0,0,32368.4106,27188.5635,6714.8471,0.0,0.839972,0.246973,0.0,0.0,0,0.0
21,308,0,0,34303.5064,28853.4622,6990.0442,0.0,0.841123,0.24226,0.0,0.0,0,0.0
22,309,2,0,36326.1535,30589.1979,7227.1584,54.7972,0.842071,0.236265,0.001508,0.5,0,0.0
23,309,2,0,38317.8416,32299.1556,7508.8888,54.7972,0.842927,0.232479,0.00143,0.5,0,0.0
24,310,3,0,40376.9017,34069.1866,7773.81,83.9051,0.843779,0.228177,0.002078,0.33361,0,0.0
25,310,3,0,42424.6931,35836.36,8054.4281,83.9051,0.844705,0.224756,0.001978,0.33361,0,0.0
26,311,4,0,44538.3188,37661.4218,8317.2105,114.6865,0.845596,0.220842,0.002575,0.250599,0,0.0
27,312,5,0,46679.5728,39509.1456,8584.1362,146.291,0.84639,0.21727,0.003134,0.20069,0,0.0
28,313,6,0,48846.8891,41379.4954,8853.6843,178.7095,0.847127,0.213963,0.003659,0.16739,0,0.0
29,313,6,0,50993.5857,43240.7293,9139.1469,178.7095,0.847964,0.211355,0.003505,0.16739,0,0.0
30,313,6,0,53157.3182,45126.546,9417.0627,178.7095,0.848924,0.208681,0.003362,0.16739,0,0.0
31,313,6,0,55336.8526,47033.4371,9689.7059,178.7095,0.849948,0.206017,0.003229,0.16739,0,0.0
32,313,6,0,57530.9088,48958.6879,9958.5115,178.7095,0.850998,0.203406,0.003106,0.16739,0,0.0
33,313,6,0,59738.1932,50900.106,10224.3777,178.7095,0.852053,0.200871,0.002992,0.16739,0,0.0
34,313,6,0,61957.4191,52855.8491,10487.8606,178.7095,0.8531,0.198424,0.002884,0.16739,0,0.0
35,314,8,0,64275.0312,54884.7031,10705.8995,254.4287,0.853904,0.195062,0.003958,0.126867,0,0.0
36,314,8,0,66521.6653,56851.5755,10985.6612,254.4287,0.854632,0.193234,0.003825,0.126867,0,0.0
37,314,8,0,68776.0664,58834.7841,11256.8536,254.4287,0.855454,0.19133,0.003699,0.126867,0,0.0
38,314,8,0,71037.2716,60830.8887,11521.9542,254.4287,0.856324,0.18941,0.003582,0.126867,0,0.0
39,316,9,0,73369.0338,62882.275,11771.5614,295.1974,0.857068,0.1872,0.004023,0.113318,0,0.0
40,316,12,0,75773.7051,64980.0511,11954.0354,419.6186,0.857554,0.183965,0.005538,0.085387,0,0.0
41,317,14,0,78160.7019,67042.1847,12199.5587,503.9584,0.857748,0.181968,0.006448,0.073202,0,0.0
42,317,14,0,80460.9797,69041.3578,12500.6635,503.9584,0.858073,0.181061,0.006263,0.073202,0,0.0
43,319,15,0,82829.6448,71106.9192,12770.2311,547.4945,0.858472,0.179592,0.00661,0.068347,0,0.0
44,320,20,0,85372.7992,73295.8831,12908.3908,768.5253,0.858539,0.176113,0.009002,0.05123,0,0.0
45,321,21,0,87754.2976,75332.2603,13213.6442,813.3931,0.858445,0.175405,0.009269,0.048777,0,0.0
46,321,22,0,90128.2509,77380.986,13493.351,858.914,0.858565,0.174376,0.00953,0.046552,0,0.0
47,321,22,0,92455.8134,79409.3487,13792.5507,858.914,0.85889,0.173689,0.00929,0.046552,0,0.0
48,321,22,0,94780.1314,81454.3897,14071.8277,858.914,0.859404,0.172757,0.009062,0.046552,0,0.0
49,321,22,0,97100.8576,83509.4351,14337.5085,858.914,0.860028,0.171687,0.008846,0.046552,0,0.0
50,323,26,0,99646.6996,85727.5166,14470.0638,1064.1192,0.860315,0.168791,0.010679,0.039638,0,0.0
51,324,29,0,102133.4337,87861.2608,14682.0674,1210.1056,0.86026,0.167105,0.011848,0.035503,0,0.0
52,325,31,0,104580.0238,89954.1026,14938.2272,1312.6939,0.860146,0.166065,0.012552,0.033229,0,0.0
53,325,31,0,106913.1992,91971.0488,15254.4565,1312.6939,0.86024,0.165862,0.012278,0.033229,0,0.0
54,325,31,0,109238.5803,94008.8231,15542.0634,1312.6939,0.860583,0.165326,0.012017,0.033229,0,0.0
55,325,31,0,111556.1237,96058.0852,15810.3446,1312.6939,0.861074,0.164592,0.011767,0.033229,0,0.0
56,325,31,0,113865.602,98112.5609,16065.3473,1312.6939,0.861652,0.163744,0.011528,0.033229,0,0.0
57,325,31,0,116166.6754,100167.9793,16311.0022,1312.6939,0.862278,0.162836,0.0113,0.033229,0,0.0
58,326,33,0,118585.3755,102308.2985,16479.938,1427.139,0.86274,0.161081,0.012035,0.031329,0,0.0
59,326,33,0,120877.1897,104336.2606,16743.7901,1427.139,0.863159,0.160479,0.011807,0.031329,0,0.0
