step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,30.532498
10,27.065943
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,73.880768
20,68.905113
20,37.96386
20,27.065943
20,23.759843
20,14.604819
30,130.714624
30,130.714624
30,128.14709
30,126.771602
30,127.007607
30,128.351262
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,129.337723
30,123.408627
30,84.188931
30,68.905113
30,64.056434
30,50.332737
30,62.900503
30,59.88877
30,54.810647
30,49.988908
30,47.717904
30,45.586125
40,191.248297
40,204.63485
40,201.153268
40,197.70173
40,195.992023
40,194.298711
40,184.689844
40,184.689844
40,191.090162
40,198.419383
40,198.419383
40,191.539294
40,185.143974
40,141.390143
40,123.408627
40,117.550732
40,100.455096
40,103.615184
40,99.919673
40,93.439383
40,87.067119
40,83.926893
40,80.82055
40,93.516212
40,96.442766
40,91.798927
50,238.409901
50,252.679693
50,249.51089
50,243.117992
50,240.287594
50,238.703835
50,227.029296
50,243.945528
50,237.3778
50,250.539342
50,250.539342
50,226.437993
50,249.834179
50,204.401426
50,185.143974
50,178.777177
50,159.885302
50,151.174449
50,147.028543
50,139.627525
50,132.264085
50,128.600246
50,124.95058
50,126.211082
50,121.222198
50,119.426629
50,118.862676
50,75.273215
50,75.764452
50,72.730491
50,105.677889
50,61.331352
50,106.75634
60,310.848845
60,307.008076
60,302.171958
60,296.117496
60,299.07927
60,308.603095
60,314.308862
60,304.375969
60,298.240818
60,291.54771
60,291.54771
60,300.722754
60,298.947648
60,269.333151
60,249.834179
60,243.327748
60,223.82372
60,202.633197
60,198.262809
60,190.350992
60,182.420846
60,178.451273
60,174.480221
60,163.189536
60,156.306019
60,155.592781
60,152.472109
60,116.663616
60,117.401576
60,113.698673
60,138.557597
60,94.398955
60,131.286873
60,134.496411
60,131.513963
60,129.240301
60,119.501269
70,364.722156
70,366.048185
70,368.982298
70,363.128119
70,378.994746
70,375.54103
70,356.861952
70,360.238383
70,354.59788
70,379.018498
70,379.018498
70,375.969111
70,344.283962
70,333.459104
70,314.428674
70,308.038812
70,288.753353
70,255.571705
70,251.15643
70,243.067252
70,234.919406
70,230.824546
70,226.716555
70,202.496097
70,193.94045
70,194.405451
70,188.708785
70,164.016292
70,164.825601
70,160.75828
70,175.239155
70,138.062552
70,166.129052
70,168.329197
70,165.006756
70,156.725105
70,143.9032
70,148.3328
70,82.356983
70,137.516539
70,80.45795
70,77.867839
80,421.760728
80,409.809688
80,405.544227
80,399.374722
80,430.308306
80,423.231798
80,403.392819
80,392.013416
80,407.867
80,419.417665
80,419.417665
80,403.370339
80,417.149235
80,394.972139
80,376.870275
80,370.76505
80,352.249705
80,308.140505
80,303.813313
80,295.799219
80,287.700118
80,283.618649
80,279.516138
80,242.817366
80,232.799108
80,234.476474
80,226.2778
80,214.478514
80,215.318339
80,211.0862
80,213.75205
80,186.10934
80,203.111274
80,204.309609
80,200.796665
80,190.980636
80,179.490836
80,180.238809
80,177.506569
80,163.797792
80,170.406683
80,165.37243
80,217.805563
80,156.767377
80,162.521465
80,11.638629
80,86.315338
80,81.231929
90,446.627952
90,443.071933
90,460.376411
90,441.671503
90,436.541883
90,438.74961
90,449.044145
90,437.883633
90,452.399387
90,463.195007
90,461.299629
90,436.304015
90,437.921939
90,452.754511
90,435.856227
90,430.138056
90,412.734864
90,359.012796
90,354.866263
90,347.107425
90,339.248644
