# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,131,0,0,1570.8664,1116.4349,1109.4315,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,131,0,0,1909.6165,1524.6604,1039.9561,0.0,0.798412,0.68209,0.0,0.0,0,0.0
2,131,0,0,2300.7015,1913.2313,1042.4702,0.0,0.831586,0.544874,0.0,0.0,0,0.0
3,132,0,0,2744.7167,2309.5468,1095.1699,0.0,0.841452,0.474193,0.0,0.0,0,0.0
4,133,0,0,3226.2288,2718.935,1172.2938,0.0,0.84276,0.431159,0.0,0.0,0,0.0
5,133,0,0,3730.0691,3138.7829,1256.2862,0.0,0.841481,0.400246,0.0,0.0,0,0.0
6,133,0,0,4263.5948,3577.8084,1350.7863,0.0,0.839153,0.377546,0.0,0.0,0,0.0
7,133,0,0,4824.9434,4037.9236,1452.0198,0.0,0.836885,0.359596,0.0,0.0,0,0.0
8,133,0,0,5412.65,4519.9591,1557.6909,0.0,0.835073,0.344625,0.0,0.0,0,0.0
9,133,0,0,6025.4628,5024.0914,1666.3714,0.0,0.83381,0.331676,0.0,0.0,0,0.0
10,133,0,0,6662.249,5550.098,1777.151,0.0,0.833067,0.320202,0.0,0.0,0,0.0
11,134,0,0,7333.9368,6106.0344,1897.9024,0.0,0.832573,0.310824,0.0,0.0,0,0.0
12,134,0,0,8018.1097,6677.3559,2010.7537,0.0,0.832784,0.30113,0.0,0.0,0,0.0
13,134,0,0,8723.5829,7268.6125,2124.9703,0.0,0.833214,0.292349,0.0,0.0,0,0.0
14,135,0,0,9461.2943,7887.7114,2248.583,0.0,0.833682,0.285074,0.0,0.0,0,0.0
15,136,0,0,10220.8463,8528.54,2372.3063,0.0,0.834426,0.278161,0.0,0.0,0,0.0
16,136,0,0,10989.6921,9181.67,2488.0221,0.0,0.83548,0.270977,0.0,0.0,0,0.0
17,136,0,0,11776.6228,9851.7215,2604.9013,0.0,0.836549,0.264411,0.0,0.0,0,0.0
18,137,0,0,12592.5934,10546.6534,2730.94,0.0,0.837528,0.258939,0.0,0.0,0,0.0
19,137,0,0,13415.252,11251.8762,2848.3758,0.0,0.838738,0.253147,0.0,0.0,0,0.0
20,137,0,0,14253.4976,11971.9352,2966.5625,0.0,0.83993,0.247793,0.0,0.0,0,0.0
21,138,0,0,15118.3636,12714.7631,3093.6005,0.0,0.841015,0.243308,0.0,0.0,0,0.0
22,139,2,0,16054.3529,13511.8317,3182.724,54.7972,0.84163,0.235551,0.003413,0.5,0,0.0
23,139,2,0,16943.964,14267.4688,3316.698,54.7972,0.842038,0.232466,0.003234,0.5,0,0.0
24,140,3,0,17886.5104,15068.4474,3434.1579,83.9051,0.842448,0.227904,0.004691,0.33361,0,0.0
25,140,3,0,18804.3072,15852.7355,3567.6666,83.9051,0.843037,0.225051,0.004462,0.33361,0,0.0
26,141,4,0,19775.386,16681.9552,3683.7443,114.6865,0.843572,0.220822,0.005799,0.250599,0,0.0
27,142,5,0,20762.4434,17521.7327,3804.4197,146.291,0.843915,0.217126,0.007046,0.20069,0,0.0
28,143,6,0,21764.7888,18372.8613,3928.2181,178.7095,0.844155,0.213805,0.008211,0.16739,0,0.0
29,143,6,0,22736.5898,19204.405,4068.4753,178.7095,0.844648,0.211851,0.00786,0.16739,0,0.0
30,143,6,0,23716.325,20050.8448,4201.7707,178.7095,0.845445,0.209556,0.007535,0.16739,0,0.0
31,143,6,0,24703.558,20909.4316,4330.4169,178.7095,0.846414,0.207104,0.007234,0.16739,0,0.0
32,143,6,0,25697.7807,21778.1864,4455.8848,178.7095,0.847473,0.204603,0.006954,0.16739,0,0.0
33,143,6,0,26698.4463,22655.6303,4579.1065,178.7095,0.848575,0.202118,0.006694,0.16739,0,0.0
34,143,6,0,27704.9904,23540.6111,4700.6699,178.7095,0.849688,0.199683,0.00645,0.16739,0,0.0
35,144,8,0,28804.5557,24492.583,4777.544,254.4287,0.850302,0.195061,0.008833,0.126867,0,0.0
36,144,8,0,29828.4522,25377.0998,4916.9237,254.4287,0.850768,0.193754,0.00853,0.126867,0,0.0
37,144,8,0,30856.0757,26273.1041,5048.5429,254.4287,0.851473,0.192156,0.008246,0.126867,0,0.0
38,144,8,0,31887.0914,27177.7588,5174.9039,254.4287,0.852312,0.19041,0.007979,0.126867,0,0.0
39,146,9,0,32985.858,28134.0326,5286.6279,295.1974,0.852912,0.187909,0.008949,0.113318,0,0.0
40,146,12,0,34155.3113,29133.5958,5332.0969,419.6186,0.852974,0.183022,0.012286,0.085387,0,0.0
41,147,14,0,35305.4301,30094.9585,5441.5132,503.9584,0.852417,0.180811,0.014274,0.073202,0,0.0
42,147,14,0,36367.7115,30991.3254,5607.4278,503.9584,0.852166,0.180935,0.013857,0.073202,0,0.0
43,149,15,0,37497.7832,31952.5492,5742.7395,547.4945,0.852118,0.179727,0.014601,0.068347,0,0.0
44,150,20,0,38802.2484,33036.1291,5747.5939,768.5253,0.851397,0.173979,0.019806,0.05123,0,0.0
45,151,21,0,39945.4437,33966.5431,5920.5075,813.3931,0.850323,0.174304,0.020363,0.048777,0,0.0
46,151,22,0,41081.9435,34909.1755,6068.8541,858.914,0.849745,0.173847,0.020907,0.046552,0,0.0
47,151,22,0,42173.3467,35831.7467,6237.686,858.914,0.84963,0.174083,0.020366,0.046552,0,0.0
48,151,22,0,43263.2267,36771.7132,6387.5995,858.914,0.849953,0.17371,0.019853,0.046552,0,0.0
49,151,22,0,44351.6454,37722.7995,6524.9319,858.914,0.850539,0.172971,0.019366,0.046552,0,0.0
50,153,26,0,45667.7034,38838.4202,6530.1639,1064.1192,0.850457,0.168137,0.023301,0.039638,0,0.0
51,154,29,0,46927.5529,39871.5689,6615.8784,1210.1056,0.849641,0.16593,0.025787,0.035503,0,0.0
52,155,31,0,48150.5182,40866.0327,6746.7916,1312.6939,0.848714,0.165095,0.027262,0.033229,0,0.0
53,155,31,0,49263.6732,41787.1555,6938.8239,1312.6939,0.848235,0.166052,0.026646,0.033229,0,0.0
54,155,31,0,50372.9681,42731.984,7103.2902,1312.6939,0.848312,0.166229,0.026059,0.033229,0,0.0
55,155,31,0,51478.6742,43691.4871,7249.4932,1312.6939,0.84873,0.165925,0.0255,0.033229,0,0.0
56,155,31,0,52580.8652,44659.6862,7383.4851,1312.6939,0.849352,0.165328,0.024965,0.033229,0,0.0
57,155,31,0,53679.488,45632.593,7509.2011,1312.6939,0.850094,0.164558,0.024454,0.033229,0,0.0
58,156,33,0,54900.8482,46694.4353,7559.2738,1427.139,0.850523,0.161888,0.025995,0.031329,0,0.0
59,156,33,0,56000.6937,47648.213,7705.3417,1427.139,0.85085,0.161713,0.025484,0.031329,0,0.0
60,157,36,0,57269.3725,48729.6405,7736.1348,1588.5972,0.850885,0.158756,0.027739,0.028727,0,0.0
61,157,36,0,58369.9766,49664.4552,7901.9242,1588.5972,0.850856,0.159106,0.027216,0.028727,0,0.0
62,157,36,0,59465.118,50614.1353,8047.3856,1588.5972,0.851157,0.158995,0.026715,0.028727,0,0.0
63,157,36,0,60554.9333,51572.0948,8179.2413,1588.5972,0.851658,0.158598,0.026234,0.028727,0,0.0
64,158,37,0,61707.3513,52580.7902,8272.0446,1644.5164,0.852099,0.157321,0.02665,0.027963,0,0.0
65,158,39,0,62914.5033,53618.2326,8320.466,1765.8046,0.85224,0.15518,0.028067,0.026613,0,0.0
66,158,39,0,63998.3262,54549.6256,8472.8959,1765.8046,0.85236,0.155325,0.027591,0.026613,0,0.0
67,158,39,0,65075.8561,55491.7487,8608.3027,1765.8046,0.852724,0.155128,0.027135,0.026613,0,0.0
68,159,41,0,66292.5706,56539.0363,8649.3412,1899.1932,0.852871,0.15298,0.028649,0.025472,0,0.0
69,161,42,0,67458.2879,57525.6443,8771.266,1966.3776,0.852759,0.152476,0.02915,0.024929,0,0.0
70,162,44,0,68669.7836,58543.8525,8847.609,2088.3221,0.852542,0.151128,0.030411,0.023809,0,0.0
71,162,46,0,69883.4094,59548.2801,8925.2601,2219.8691,0.852109,0.149883,0.031765,0.022829,0,0.0
72,162,47,0,71026.7665,60493.2426,9059.5686,2283.9553,0.851696,0.149762,0.032156,0.022353,0,0.0
73,163,48,0,72177.0726,61452.1263,9191.3532,2348.5931,0.851408,0.149569,0.032539,0.021897,0,0.0
74,163,49,0,73315.3253,62408.1828,9308.4856,2413.6569,0.85123,0.149155,0.032922,0.021459,0,0.0
75,163,50,0,74448.682,63364.1292,9420.2951,2479.2578,0.851111,0.148669,0.033302,0.021039,0,0.0
76,165,55,0,75867.7469,64518.338,9361.6513,2812.7575,0.850405,0.145101,0.037074,0.019159,0,0.0
77,165,56,0,77012.8287,65420.9425,9533.3294,2883.5568,0.849481,0.145723,0.037443,0.018833,0,0.0
78,165,56,0,78079.7781,66292.2654,9728.9559,2883.5568,0.849032,0.146759,0.036931,0.018833,0,0.0
79,167,59,0,79363.9511,67344.0508,9769.4395,3085.4608,0.848547,0.145068,0.038877,0.017876,0,0.0
80,168,60,0,80510.3763,68272.847,9924.449,3153.0804,0.848001,0.145365,0.039164,0.017577,0,0.0
81,168,62,0,81703.0274,69247.1643,10015.445,3280.4181,0.847547,0.144633,0.040151,0.016993,0,0.0
82,169,66,0,83032.2062,70309.6706,10030.8349,3536.7007,0.846776,0.142667,0.042594,0.015932,0,0.0
83,170,68,0,84264.8892,71271.6687,10150.2554,3692.9651,0.845805,0.142416,0.043826,0.015507,0,0.0
84,170,68,0,85329.9258,72120.016,10366.9448,3692.9651,0.84519,0.143746,0.043279,0.015507,0,0.0
85,170,68,0,86385.419,73000.3483,10542.1056,3692.9651,0.845054,0.144412,0.04275,0.015507,0,0.0
86,170,68,0,87431.9072,73899.2316,10689.7105,3692.9651,0.84522,0.144653,0.042238,0.015507,0,0.0
87,173,70,0,88661.3824,74940.0519,10737.6776,3848.6529,0.845239,0.143284,0.043408,0.015097,0,0.0
88,173,71,0,89789.2918,75884.3952,10840.6976,3929.199,0.845139,0.142858,0.04376,0.014905,0,0.0
89,175,72,0,90933.2334,76839.0554,10963.7897,4005.3884,0.845005,0.142685,0.044048,0.014705,0,0.0
90,175,77,0,92337.3128,77973.9796,10873.9562,4364.3771,0.844447,0.139456,0.047266,0.013739,0,0.0
91,175,78,0,93463.5414,78849.3997,11048.509,4440.6327,0.843638,0.140122,0.047512,0.013566,0,0.0
92,176,81,0,94734.7237,79848.7093,11108.2591,4657.7553,0.842866,0.139116,0.049166,0.013061,0,0.0
93,176,82,0,95860.3842,80729.893,11270.7997,4739.6915,0.842161,0.139611,0.049444,0.012912,0,0.0
94,176,82,0,96895.7376,81569.8753,11466.1708,4739.6915,0.841831,0.140569,0.048915,0.012912,0,0.0
95,176,82,0,97921.2407,82435.6524,11625.8969,4739.6915,0.841857,0.14103,0.048403,0.012912,0,0.0
96,176,82,0,98937.3315,83315.7452,11761.8948,4739.6915,0.842106,0.141173,0.047906,0.012912,0,0.0
97,177,83,0,100035.4188,84265.3436,11836.2421,4818.833,0.842355,0.140464,0.048171,0.012761,0,0.0
98,177,84,0,101130.8108,85201.8855,11905.4876,4908.4378,0.842492,0.139733,0.048536,0.012632,0,0.0
99,177,84,0,102130.1215,86062.5847,12044.0991,4908.4378,0.842676,0.139946,0.048061,0.012632,0,0.0
100,178,86,0,103303.6161,87057.4756,12056.2069,5079.9337,0.842734,0.138486,0.049175,0.012366,0,0.0
101,178,86,0,104295.0701,87895.1701,12209.9664,5079.9337,0.842755,0.138915,0.048707,0.012366,0,0.0
102,180,92,0,105806.9597,89110.2852,12010.7152,5585.9592,0.842197,0.134785,0.052794,0.011599,0,0.0
103,180,93,0,106885.0055,89918.7564,12199.2031,5667.0461,0.841266,0.135669,0.05302,0.011474,0,0.0
104,180,93,0,107872.7795,90696.7327,12409.0007,5667.0461,0.840775,0.136819,0.052535,0.011474,0,0.0
105,180,93,0,108850.1498,91506.8702,12576.2336,5667.0461,0.840668,0.137435,0.052063,0.011474,0,0.0
106,180,93,0,109817.6229,92335.4079,12715.1689,5667.0461,0.840807,0.137706,0.051604,0.011474,0,0.0
107,180,93,0,110775.5325,93173.3027,12835.1837,5667.0461,0.8411,0.137756,0.051158,0.011474,0,0.0
108,180,93,0,111724.098,94014.6116,12942.4404,5667.0461,0.841489,0.137664,0.050724,0.011474,0,0.0
109,180,93,0,112663.4638,94855.429,13040.9887,5667.0461,0.841936,0.137483,0.050301,0.011474,0,0.0
110,180,93,0,113593.7262,95693.1888,13133.4913,5667.0461,0.842416,0.137246,0.049889,0.011474,0,0.0
111,181,96,0,114795.7029,96719.338,13045.5588,5935.8062,0.842534,0.134881,0.051708,0.011143,0,0.0
112,183,98,0,115939.6774,97641.438,13082.1999,6131.0394,0.842174,0.133982,0.052881,0.010952,0,0.0
113,183,99,0,116961.895,98455.1476,13200.4893,6221.2581,0.841771,0.134076,0.05319,0.010847,0,0.0
114,184,105,0,118426.6117,99582.33,13014.6666,6749.6151,0.840878,0.130693,0.056994,0.010241,0,0.0
115,184,105,0,119359.1343,100245.2409,13284.2782,6749.6151,0.839862,0.132518,0.056549,0.010241,0,0.0
116,185,108,0,120585.8331,101172.4893,13295.3162,7043.0276,0.839008,0.131412,0.058407,0.009986,0,0.0
