steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement
400,457,441,16,5152.32197275,9.695,1074.44,2.8513838386117247,0.1677068453828482,0.08,361.085,0.07975024375609391,8.308743718592964,0.001753543838595965,0.8283289582239556,52049.36758184337,0.9270715676734093,326.0,360,110,393.7790168931022,0.8962865925133596,398.0990099009901,0.9306930693069306,389.44669395556645,0.8729135003656583,101,356,14,0.0625,0.06666666666666667,1.1428571428571428,2,41,0.2,1,3,0.005,0
400,498,490,8,5513.099261,6.1,837.08,2.0132745232211735,0.11977366568257468,0.04,402.155,0.040135003375084376,5.490965274131853,0.0008295207380184504,0.9245173629340734,35442.63151785115,0.9442503598175327,368.625,375,115,398.25271686834833,0.9379728060051669,397.56310679611653,0.9223300970873787,400.0,1.0,103,395,7,0.0,0.0,1.1428571428571428,2,42,0.2,1,3,0.005,0
400,481,258,223,4492.436707,23.265,1591.81,5.5979727692817995,0.32275887233858463,1.09,285.705,-0.005720393009825246,1.642092552313808,0.0034140853521338033,-0.24316132903322582,34988.105118806336,0.9033161686001018,206.18385650224215,196,111,273.73020882630897,0.296179701248061,330.52475247524757,0.4455445544554452,250.71835432430493,0.20236913354536412,101,380,130,0.18807339449541285,0.23163841807909605,1.676923076923077,5,41,0.35,1,3,0.005,0
400,516,276,240,4693.47625675,26.39,1741.325,5.863654249958895,0.33637070952303133,1.165,299.02,0.007842196054901373,1.5083289582239556,0.0016402910072751819,-0.3243036075901898,47545.06182524777,0.8778746151835755,193.55833333333334,189,109,266.2346497589288,0.32060512976324,337.3203883495146,0.5436893203883497,238.99005254401635,0.23334026367029437,103,413,134,0.1630901287553648,0.19487179487179487,1.7388059701492538,4,42,0.35,1,3,0.005,0
400,500,230,270,3830.509105,25.245,1735.595,7.4828786016493485,0.36368370990845356,1.185,232.705,-0.03573314332858321,0.771681542038551,-0.001959798994974874,-0.186278406960174,37777.96121406136,0.8580364631579575,167.1888888888889,150,111,228.29089322974187,0.22877725545975383,301.4752475247525,0.3960396039603956,200.54167789671732,0.15687711385451167,101,399,139,0.34177215189873417,0.5192307692307693,1.7050359712230216,5,41,0.5,1,3,0.005,0
400,530,278,252,4230.584519,24.29,1759.69,6.421541222179058,0.3540352774670643,1.135,273.79,-0.016000900022500562,3.414221855546389,-0.0010042751068776719,0.009343733593339834,51715.43462289534,0.8827972850316245,174.12301587301587,156,111,245.8878176263236,0.27688036578493536,319.26213592233,0.4660194174757283,218.06496993449045,0.19003261616250713,103,427,130,0.32158590308370044,0.474025974025974,1.7461538461538462,5,42,0.5,1,3,0.005,0
400,502,213,289,3900.0031424999997,24.685,1767.16,7.64941085191349,0.37336664084325166,1.315,232.25,-0.050325508137703444,-0.5740313507837695,-0.0034493362334058354,-0.30892822320558017,38856.10150028664,0.8678130783752851,164.14186851211073,151,116,221.52213737558228,0.2158244666058794,308.15841584158426,0.40594059405940564,190.83690069976996,0.15675250084496437,101,401,146,0.34980988593155893,0.5380116959064327,1.8013698630136987,6,41,0.7,1,3,0.005,0
400,531,262,269,4911.06929875,26.705,1722.895,5.628499123308208,0.34786597382564194,1.305,310.895,0.03255606390159754,3.214665116627916,0.005118877971949299,-0.44141678541963547,48994.486089587735,0.8703756480584197,199.46096654275092,192,117,263.6500982801246,0.274425315123212,336.0485436893203,0.4660194174757283,238.68283173296234,0.1826344342316546,103,428,141,0.2260536398467433,0.29207920792079206,1.851063829787234,6,42,0.7,1,3,0.005,0
400,916,916,0,9364.16061375,4.935,895.31,1.236109938745651,0.0767596206991135,0.0,702.605,0.007397434935873397,5.282943073576839,0.0,2.1062649066226657,35136.5788487102,0.9758229854630498,,,125,400.0,1.0,400.0,1.0,400.0,1.0,101,815,0,0.0,0.0,0.0,0,41,0.2,2,3,0.005,0
400,875,873,2,9119.19714875,6.33,1071.19,1.5094934793269479,0.0928676743658887,0.01,689.455,0.021839045976149402,6.167443186079652,0.00022650566264156605,1.9388952223805596,42170.213219547586,0.9479497280728398,375.0,388,127,399.67547831166934,0.9859305778686529,399.5145631067961,0.9805825242718447,400.0,1.0,103,772,2,0.0,0.0,1.0,1,42,0.2,2,3,0.005,0
