steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement,beta_late,hazard_late,n_star_pred,n_star_gap,loan_exit_late,hidden_fragility_ratio_geometric_pred,hidden_fragility_ratio_gap
400,892,892,0,9481.850042,0.23,69.0,0.09815289070502073,0.006853390034203107,0.0,699.665,-0.0005655141378534464,0.21762094052351308,0.0,1.884283357083927,2296.862507457149,0.9765575036229712,,,118,400.0,1.0,400.0,1.0,400.0,1.0,101,791,0,0.0,0.0,0.0,0,31,0.35,2,1,0.005,0,0.0003287287487583344,0.0,,,0.0033491499475676594,0.9674884742957918,0.009069029327179456
400,897,897,0,9252.12463475,0.255,86.91,0.12535120252729487,0.008726215825011298,0.0,695.005,-0.0012847821195529888,0.2224900622515563,0.0,2.001094277356934,2733.308062732154,0.9793359719308679,,,126,400.0,1.0,400.0,1.0,400.0,1.0,101,796,0,0.0,0.0,0.0,0,32,0.35,2,1,0.005,0,0.00036690383522420704,0.0,,,0.0029270069040168542,0.9714812033909519,0.007854768539915957
400,929,929,0,9652.5150615,0.255,53.325,0.07281116057085574,0.005087035871006454,0.0,714.95,-0.00020925523138078453,0.2819192979824496,0.0,2.1366489162229056,1997.8715875853547,0.9946785559988268,,,126,400.0,1.0,400.0,1.0,400.0,1.0,102,827,0,0.0,0.0,0.0,0,33,0.35,2,1,0.005,0,0.00035666829848241135,0.0,,,0.004898538846051242,0.9530830328160912,0.04159552318273563
400,902,902,0,9455.33666125,0.285,85.305,0.12174494966055038,0.008538220532562648,0.0,697.725,-0.00019875496887422178,0.2709990249756244,0.0,1.903011325283132,2896.3914351166563,0.9814797460236759,,,122,400.0,1.0,400.0,1.0,400.0,1.0,104,798,0,0.0,0.0,0.0,0,34,0.35,2,1,0.005,0,0.0004084703858970224,0.0,,,0.003355132077641994,0.9674321055110892,0.014047640512586779
400,885,885,0,9384.52038,0.27,77.0,0.10991154381035964,0.007388377896734887,0.0,696.91,4.0501012525313154e-05,0.2492222305557639,0.0,1.8804425110627765,2515.1803093552667,0.9709750743150077,,,123,400.0,1.0,400.0,1.0,400.0,1.0,101,784,0,0.0,0.0,0.0,0,35,0.35,2,1,0.005,0,0.0003874244880974588,0.0,,,0.003524875319428844,0.9658350902308341,0.005139984084173599
400,906,906,0,9266.37323175,0.215,63.835,0.09109333720643958,0.0063695958863667825,0.0,700.32,0.001431785794644866,0.195065626640666,0.0,2.0474401860046503,2192.2008592349334,0.9528933045395542,,,122,400.0,1.0,400.0,1.0,400.0,1.0,104,802,0,0.0,0.0,0.0,0,36,0.35,2,1,0.005,0,0.0003070025131368517,0.0,,,0.0033701972345256117,0.9672901747190761,-0.014396870179521848
400,840,840,0,9059.72192375,0.295,75.64,0.11278796747627409,0.007554436098438251,0.0,662.94,0.0006022650566264156,0.2968949223730593,0.0,1.7468851721293033,2671.182463609675,0.9880763853896034,,,123,400.0,1.0,400.0,1.0,400.0,1.0,103,737,0,0.0,0.0,0.0,0,37,0.35,2,1,0.005,0,0.0004449874800132741,0.0,,,0.0039453453233553575,0.9618994260574394,0.026176959332164018
400,875,875,0,8896.46729125,0.26,67.65,0.09885763751452856,0.006775989994897384,0.0,676.55,0.0001440036000900022,0.2681377034425861,0.0,1.9159858996474912,2295.551669260534,0.9687539763280056,,,113,400.0,1.0,400.0,1.0,400.0,1.0,101,774,0,0.0,0.0,0.0,0,38,0.35,2,1,0.005,0,0.0003843027122902964,0.0,,,0.003887435730333102,0.9624397598722805,0.0063142164557251634
400,883,883,0,9324.98784675,0.195,65.575,0.09542561600195669,0.006666173024926321,0.0,686.965,0.0009067726693167329,0.21070651766294157,0.0,2.1110890272256806,2241.074879823521,0.9915246840096936,,,125,400.0,1.0,400.0,1.0,400.0,1.0,102,781,0,0.0,0.0,0.0,0,39,0.35,2,1,0.005,0,0.0002838572561920913,0.0,,,0.002974644210693603,0.971029159382948,0.020495524626745643
400,906,906,0,9633.872542,0.31,84.68,0.11746372064698014,0.008015936297910923,0.0,712.105,0.00044251106277656935,0.3443816095402385,0.0,1.9423618090452262,2935.1804573413215,0.9769322347671564,,,120,400.0,1.0,400.0,1.0,400.0,1.0,101,805,0,0.0,0.0,0.0,0,40,0.35,2,1,0.005,0,0.00043532905961901684,0.0,,,0.0037060724555740407,0.9641355226103459,0.012796712156810552
