step,alive_pre_cascade,active_loans_pre_cascade,rho_B_pre_cascade,largest_scc_pre_cascade,mean_internal_rate_pre_cascade,credit_transactions,failures_this_step,secondary_share_step,secondary_per_fragile_step
0,103,21,0.0,1,0.03559919896068791,21,0,0.0,0.0
10,117,43,0.0,1,0.030724598122201182,0,0,0.0,0.0
20,140,68,0.0,1,0.029170710436891067,1,0,0.0,0.0
30,171,93,0.0,1,0.028763351639636777,0,0,0.0,0.0
40,189,114,0.0,1,0.027976158577869822,6,0,0.0,0.0
50,205,173,0.0,1,0.027782838520896823,4,0,0.0,0.0
60,221,226,0.0,1,0.027499925373735336,2,0,0.0,0.0
70,239,270,0.0,1,0.027512031693302963,0,0,0.0,0.0
80,262,344,0.0,1,0.02751630389290496,20,0,0.0,0.0
90,284,404,0.0,1,0.027650107201440968,4,0,0.0,0.0
100,295,469,0.0,1,0.02736973566172764,11,0,0.0,0.0
110,315,547,0.0,1,0.027391377481496004,0,0,0.0,0.0
120,327,602,0.0,1,0.02726068889925023,1,0,0.0,0.0
130,355,672,0.0,1,0.027524219196557044,2,0,0.0,0.0
140,371,739,0.0,1,0.027373667915951316,8,0,0.0,0.0
150,395,793,0.0,1,0.027498716775215013,8,0,0.0,0.0
160,420,932,0.0,1,0.02747695567900055,18,0,0.0,0.0
170,444,1047,0.0,1,0.027506626573702744,8,0,0.0,0.0
180,466,1155,0.0,1,0.027489546320655346,22,0,0.0,0.0
190,490,1283,0.0,1,0.027575539070169977,18,0,0.0,0.0
200,521,1421,0.0,1,0.027592613792565564,31,0,0.0,0.0
210,536,1626,0.0,1,0.02734346683659975,59,0,0.0,0.0
220,551,1756,0.0,1,0.02733977910925569,34,1,0.0,0.0
230,567,1939,0.0,1,0.027310346285807315,13,0,0.0,0.0
240,582,2074,0.0,1,0.027218472775847918,38,0,0.0,0.0
250,598,2354,0.0,1,0.027183653190959646,51,0,0.0,0.0
260,619,2434,0.0,1,0.02735474386677276,0,0,0.0,0.0
270,636,2658,0.0,1,0.027366947276245685,30,0,0.0,0.0
280,652,2848,0.0,1,0.02721646759355781,49,2,0.0,0.0
290,666,2978,0.0,1,0.027219051114352116,28,2,0.0,0.0
300,660,2847,0.0,1,0.026996584008724157,18,1,1.0,0.0
310,679,2949,0.0,1,0.02716602619920834,24,3,0.0,0.0
320,687,2933,0.0,1,0.027210911112204764,0,1,0.0,0.0
330,691,3064,0.0,1,0.027089708802416762,9,0,0.0,0.0
340,698,3338,0.0,1,0.02675763140788271,100,1,0.0,0.0
350,711,3381,0.0,1,0.026811715578612796,35,1,0.0,0.0
360,715,3447,0.0,1,0.026815552464031996,47,1,0.0,0.0
370,708,3556,0.0,1,0.02663691058832595,35,3,0.3333333333333333,0.5
380,709,3662,0.0,1,0.02654951733344873,71,4,0.25,0.3333333333333333
390,703,3738,0.0,1,0.026453000950837417,41,1,0.0,0.0
400,700,3734,0.0,1,0.02636150867764446,75,2,0.0,0.0
410,696,3800,0.0,1,0.02637282866747621,59,3,0.0,0.0
420,692,3989,0.7416902632873348,3,0.02635022089533958,18,2,0.0,0.0
430,683,4019,0.6527645551251039,3,0.026247572898794494,47,1,1.0,0.0
440,685,4245,0.7722135746549521,3,0.026278010698193546,39,0,0.0,0.0
450,677,4011,0.8422122845287316,3,0.026353536912712305,19,2,0.5,1.0
460,669,4077,0.8723034706576083,3,0.026121903197611776,42,2,0.0,0.0
470,652,3785,0.734703863044077,3,0.025989818567717392,95,1,0.0,0.0
480,650,3842,0.7155764823295665,3,0.026003931786744074,73,3,0.0,0.0
490,644,3632,0.0,1,0.02599826147851764,60,1,0.0,0.0
500,643,3678,0.0,1,0.02606838899692322,16,3,0.6666666666666666,2.0
510,645,3595,0.0,1,0.0260690333673364,22,0,0.0,0.0
520,644,3785,0.0,1,0.025748371784605907,114,1,1.0,0.0
530,637,3966,0.0,1,0.025729387264916623,53,2,0.0,0.0
540,639,4155,0.0,1,0.025665708071989396,102,0,0.0,0.0
550,640,4245,0.0,1,0.02582439852987777,73,0,0.0,0.0
560,641,4092,0.0,1,0.025912064521109727,36,4,0.25,0.3333333333333333
570,640,4231,0.0,1,0.025910794067598608,10,2,0.0,0.0
580,630,4338,0.0,1,0.02578650946912607,49,3,0.6666666666666666,2.0
590,622,4207,0.0,1,0.02571000590721169,107,2,0.0,0.0
600,622,4204,0.0,1,0.025779164169976644,54,2,0.0,0.0
610,620,4173,0.0,1,0.02569501885047766,43,0,0.0,0.0
620,612,3977,0.0,1,0.025670053608072133,19,3,0.3333333333333333,0.5
630,613,3846,0.0,1,0.02566701510711468,44,3,0.6666666666666666,2.0
640,615,3843,0.0,1,0.025585785303717027,132,0,0.0,0.0
650,631,4038,0.0,1,0.025815249534474703,20,5,0.4,0.6666666666666666
660,631,4186,0.0,1,0.025641088127451795,66,2,0.0,0.0
670,626,4189,0.0,1,0.025559340556105745,134,2,0.0,0.0
680,626,4085,0.0,1,0.025751996711823846,23,2,0.5,1.0
690,625,4127,0.0,1,0.02571801075665516,30,1,0.0,0.0
700,626,4324,0.0,1,0.025574458370758335,88,3,0.3333333333333333,0.5
710,617,4066,0.0,1,0.025549979617743905,27,4,0.0,0.0
720,610,3945,0.0,1,0.025424932534505944,66,3,0.3333333333333333,0.5
730,615,3993,0.0,1,0.02533647303058235,161,1,0.0,0.0
740,601,3971,0.0,1,0.025285408692475607,63,3,0.0,0.0
750,597,3932,0.0,1,0.02541450826171368,22,0,0.0,0.0
760,601,3716,0.0,1,0.02548401690780548,67,2,0.0,0.0
770,610,4025,0.0,1,0.025512873276054004,80,3,0.0,0.0
780,604,4160,1.0,2,0.02546459929334009,77,1,0.0,0.0
790,599,4355,0.9359168635810159,4,0.025562824721044868,15,4,0.25,0.3333333333333333
800,587,4170,0.0,1,0.025380432902180363,87,3,0.0,0.0
810,584,4447,0.0,1,0.025468798260013952,49,3,0.3333333333333333,0.5
820,579,4777,0.0,1,0.025214104341964805,120,2,0.0,0.0
830,567,4594,0.0,1,0.025427482126634027,2,3,0.0,0.0
840,556,4679,0.0,1,0.02524853346255465,62,4,0.0,0.0
850,550,4580,0.9519990593658413,22,0.025243978939190982,96,5,0.8,4.0
860,536,4667,1.1110783930711552,26,0.025283032729150993,45,3,0.3333333333333333,0.5
870,531,4761,0.9598170891491715,15,0.025342441162166773,12,1,1.0,0.0
880,522,5020,1.487963722694302,58,0.025114498379194005,86,2,0.5,1.0
890,513,4884,1.199209501554878,51,0.025178697076315273,53,1,0.0,0.0
900,514,4860,1.3145837295310308,57,0.02527288235784513,45,2,0.5,1.0
910,507,4884,1.1719855938466697,44,0.025126267825957633,59,0,0.0,0.0
920,512,4723,1.149969993852387,48,0.0253339094324928,30,3,0.0,0.0
930,515,4716,1.0718318339439372,39,0.02526543187048015,88,2,0.5,1.0
940,523,4459,1.1119412650492613,41,0.025519054956807743,15,1,0.0,0.0
950,523,4528,1.3514987784556398,54,0.02546175295608773,38,2,0.0,0.0
960,531,4620,1.5029779031063657,58,0.025533969088248423,4,2,0.5,1.0
970,525,4527,1.5773348583540536,68,0.025348920749673137,1,2,1.0,0.0
980,527,4617,1.5719525678467101,33,0.02548504353556076,34,1,0.0,0.0
990,521,4667,1.6541080701709538,95,0.025426953373424613,17,2,0.0,0.0
