bras,taille,survie
control,1.0,1.0
control,2.0,0.4881129271916791
control,3.0,0.3392768697374938
control,4.0,0.27086428925210504
control,5.0,0.23495542347696885
control,6.0,0.21105745418524025
control,7.0,0.19297919762258542
control,8.0,0.18028727092620112
control,9.0,0.17031946508172358
control,10.0,0.16245666171371964
control,11.0,0.15484150569588906
control,12.0,0.14865032194155525
control,13.0,0.14307825656265483
control,14.0,0.13862060425953437
control,15.0,0.13292471520554727
control,16.0,0.12865279841505695
control,17.0,0.12438088162456662
control,18.0,0.12066617137196634
control,19.0,0.11651807825656268
control,20.0,0.11249380881624571
control,21.0,0.10890292223873199
control,22.0,0.10475482912332834
control,23.0,0.10153541357107476
control,24.0,0.09856364536899453
control,25.0,0.09503467062902426
control,26.0,0.09138187221396732
control,27.0,0.08896731054977713
control,28.0,0.0863051015354136
control,29.0,0.08413818722139677
control,30.0,0.08116641901931654
control,31.0,0.07813273897969297
control,32.0,0.07565626547795934
control,33.0,0.0734893511639425
control,34.0,0.071198613174839
control,35.0,0.06872213967310548
control,36.0,0.06612184249628528
control,37.0,0.06358345715700842
control,38.0,0.06036404160475484
control,39.0,0.05887815750371472
control,40.0,0.056587419514611215
control,41.0,0.05491579990094109
control,42.0,0.05262506191183758
control,43.0,0.05064388311045076
control,44.0,0.04872461614660728
control,45.0,0.046929172857850476
control,46.0,0.04544328875681025
control,47.0,0.04333828628033676
control,48.0,0.04104754829123325
control,49.0,0.03980931154036649
control,50.0,0.038571074789499726
control,51.0,0.037642397226349655
control,52.0,0.035413571074789485
control,53.0,0.034113422486379386
control,54.0,0.03237989103516592
control,55.0,0.030832095096582468
control,56.0,0.02953194650817237
control,57.0,0.028293709757305607
control,58.0,0.02693164933135217
control,59.0,0.025507677067855394
control,60.0,0.02439326399207531
control,61.0,0.023155027241208548
control,62.0,0.02216443784051514
control,63.0,0.02086428925210504
control,64.0,0.019502228826151602
control,65.0,0.01826399207528484
control,66.0,0.017149578999504755
control,67.0,0.01665428429915805
control,68.0,0.015911342248637994
control,69.0,0.01535413571074784
control,70.0,0.014611193660227784
control,71.0,0.014301634472511093
control,72.0,0.013620604259534375
control,73.0,0.012939574046557656
control,74.0,0.012196631996037599
control,75.0,0.011639425458147556
control,76.0,0.0108964834076275
control,77.0,0.010277365032194119
control,78.0,0.009658246656760738
control,79.0,0.009348687469044048
control,80.0,0.00897721644378402
control,81.0,0.008172362555720625
control,82.0,0.007924715205547272
control,83.0,0.007862803368003934
control,84.0,0.00736750866765723
control,85.0,0.007305596830113892
control,86.0,0.006934125804853863
control,87.0,0.006748390292223849
control,88.0,0.006376919266963821
control,89.0,0.006253095591877145
control,90.0,0.0061292719167904686
control,91.0,0.005819712729073778
control,92.0,0.005510153541357088
control,93.0,0.005262506191183736
control,94.0,0.004891035165923707
control,95.0,0.004829123328380369
control,96.0,0.004643387815750355
control,97.0,0.0042100049529469885
control,98.0,0.004024269440316974
control,99.0,0.003714710252600284
control,100.0,0.003590886577513608
control,101.0,0.0035289747399702698
control,103.0,0.0032194155522535794
control,104.0,0.0030336800396235652
control,105.0,0.002847944526993551
control,106.0,0.002600297176820199
control,107.0,0.0024145616641901846
control,109.0,0.0022907379891035085
control,110.0,0.0022288261515601704
control,112.0,0.0021050024764734943
control,113.0,0.001981178801386818
control,114.0,0.00191926696384348
control,115.0,0.001795443288756804
control,116.0,0.0017335314512134659
control,117.0,0.0015477959385834517
control,118.0,0.0014239722634967755
control,120.0,0.0013001485884100994
control,121.0,0.0011144130757800852
control,122.0,0.0010525012382367471
control,124.0,0.000928677563150071
control,125.0,0.0008048538880633949
control,126.0,0.0007429420505200568
control,127.0,0.0006191183754333807
control,132.0,0.0005572065378900426
control,134.0,0.0004952947003467045
control,137.0,0.00043338286280336646
control,138.0,0.0003714710252600284
control,142.0,0.00030955918771669033
control,144.0,0.00024764735017335227
control,145.0,0.0001857355126300142
control,148.0,0.00012382367508667613
control,163.0,6.191183754333807e-05
all_A150,1.0,1.0
all_A150,2.0,0.47451190157796197
all_A150,3.0,0.32522064723188016
all_A150,4.0,0.25552286707675853
all_A150,5.0,0.21690291521797267
all_A150,6.0,0.1932602300080235
all_A150,7.0,0.17587590264776676
all_A150,8.0,0.16373361861460278
all_A150,9.0,0.15442631719711153
all_A150,10.0,0.14725862530088263
all_A150,11.0,0.1412677186413479
all_A150,12.0,0.13431398769724523
all_A150,13.0,0.1292324150842471
all_A150,14.0,0.124632254613533
all_A150,15.0,0.11960417223856645
all_A150,16.0,0.11511099224391552
all_A150,17.0,0.11179459748595877
all_A150,18.0,0.10665953463492917
all_A150,19.0,0.1028082374966569
all_A150,20.0,0.09949184273870015
all_A150,21.0,0.09644289917090132
all_A150,22.0,0.09253811179459748
all_A150,23.0,0.088472853704199
all_A150,24.0,0.08590532227868419
all_A150,25.0,0.08248194704466438
all_A150,26.0,0.0792725327627708
all_A150,27.0,0.07654453062316124
